shape,weight,area,OD,tnom,tdes,Ix,Zx,Sx,rx,Iy,Zy,Sy,ry,J,C
HSS12_000X0_625,76.0,20.9,12.0,0.625,0.581,341.0,75.9,56.8,4.04,341.0,75.9,56.8,4.04,681.0,113.0
HSS12_000X0_500,61.47,16.9,12.0,0.5,0.465,281.0,61.9,46.8,4.08,281.0,61.9,46.8,4.08,561.0,93.3
HSS12_000X0_375,46.6,12.8,12.0,0.375,0.349,217.0,47.4,36.1,4.12,217.0,47.4,36.1,4.12,434.0,72.2
HSS12_000X0_250,31.4,8.6,12.0,0.25,0.233,149.0,32.2,24.8,4.16,149.0,32.2,24.8,4.16,298.0,49.6
HSS11_750X0_625,74.33,20.4,11.8,0.625,0.581,319.0,72.6,54.3,3.95,319.0,72.6,54.3,3.95,638.0,108.0
HSS11_750X0_500,60.13,16.5,11.8,0.5,0.465,263.0,59.3,44.7,3.99,263.0,59.3,44.7,3.99,526.0,89.2
HSS11_750X0_375,45.6,12.5,11.8,0.375,0.349,203.0,45.3,34.6,4.03,203.0,45.3,34.6,4.03,406.0,69.0
HSS11_750X0_337,41.12,11.3,11.8,0.337,0.313,184.0,41.0,31.4,4.04,184.0,41.0,31.4,4.04,368.0,62.6
HSS11_750X0_250,30.73,8.41,11.8,0.25,0.233,140.0,30.8,23.8,4.07,140.0,30.8,23.8,4.07,279.0,47.5
HSS10_750X0_625,67.65,18.6,10.8,0.625,0.581,241.0,60.2,44.8,3.6,241.0,60.2,44.8,3.6,482.0,89.1
HSS10_750X0_500,54.79,15.0,10.8,0.5,0.465,199.0,49.2,37.0,3.64,199.0,49.2,37.0,3.64,398.0,74.1
HSS10_750X0_375,41.59,11.4,10.8,0.375,0.349,154.0,37.8,28.7,3.68,154.0,37.8,28.7,3.68,309.0,57.4
HSS10_750X0_313,34.87,9.55,10.8,0.313,0.291,131.0,31.8,24.3,3.7,131.0,31.8,24.3,3.7,261.0,48.6
HSS10_750X0_250,28.06,7.7,10.8,0.25,0.233,106.0,25.8,19.8,3.72,106.0,25.8,19.8,3.72,213.0,39.6
HSS10_750X0_188,21.17,5.79,10.8,0.188,0.174,81.0,19.5,15.1,3.74,81.0,19.5,15.1,3.74,162.0,30.1
HSS10_000X0_625,62.64,17.2,10.0,0.625,0.581,191.0,51.6,38.3,3.34,191.0,51.6,38.3,3.34,383.0,76.6
HSS10_000X0_500,50.78,13.9,10.0,0.5,0.465,159.0,42.3,31.7,3.38,159.0,42.3,31.7,3.38,317.0,63.5
HSS10_000X0_375,38.58,10.6,10.0,0.375,0.349,123.0,32.5,24.7,3.41,123.0,32.5,24.7,3.41,247.0,49.3
HSS10_000X0_312,32.31,8.88,10.0,0.312,0.291,105.0,27.4,20.9,3.43,105.0,27.4,20.9,3.43,209.0,41.9
HSS10_000X0_250,26.06,7.15,10.0,0.25,0.233,85.3,22.2,17.1,3.45,85.3,22.2,17.1,3.45,171.0,34.1
HSS10_000X0_188,19.72,5.37,10.0,0.188,0.174,64.8,16.8,13.0,3.47,64.8,16.8,13.0,3.47,130.0,25.9
HSS9_625X0_625,60.13,16.5,9.63,0.625,0.581,170.0,47.6,35.2,3.2,170.0,47.6,35.2,3.2,339.0,70.0
HSS9_625X0_500,48.77,13.4,9.63,0.5,0.465,141.0,39.0,29.2,3.24,141.0,39.0,29.2,3.24,281.0,58.5
HSS9_625X0_375,37.08,10.2,9.63,0.375,0.349,110.0,30.0,22.8,3.28,110.0,30.0,22.8,3.28,219.0,45.5
HSS9_625X0_312,31.06,8.53,9.63,0.312,0.291,93.0,25.4,19.3,3.3,93.0,25.4,19.3,3.3,186.0,38.7
HSS9_625X0_250,25.06,6.87,9.63,0.25,0.233,75.9,20.6,15.8,3.32,75.9,20.6,15.8,3.32,152.0,31.5
HSS9_625X0_188,18.97,5.17,9.63,0.188,0.174,57.7,15.5,12.0,3.34,57.7,15.5,12.0,3.34,115.0,24.0
HSS8_625X0_625,53.45,14.7,8.63,0.625,0.581,119.0,37.7,27.7,2.85,119.0,37.7,27.7,2.85,239.0,55.4
HSS8_625X0_500,43.43,11.9,8.63,0.5,0.465,100.0,31.0,23.1,2.89,100.0,31.0,23.1,2.89,199.0,46.2
HSS8_625X0_375,33.07,9.07,8.63,0.375,0.349,77.8,23.9,18.0,2.93,77.8,23.9,18.0,2.93,156.0,36.1
HSS8_625X0_322,28.58,7.85,8.63,0.322,0.3,68.1,20.8,15.8,2.95,68.1,20.8,15.8,2.95,136.0,31.6
HSS8_625X0_250,22.38,6.14,8.63,0.25,0.233,54.1,16.4,12.5,2.97,54.1,16.4,12.5,2.97,108.0,25.1
HSS8_625X0_188,16.96,4.62,8.63,0.188,0.174,41.3,12.4,9.57,2.99,41.3,12.4,9.57,2.99,82.5,19.1
HSS7_500X0_500,37.42,10.3,7.5,0.5,0.465,63.9,23.0,17.0,2.49,63.9,23.0,17.0,2.49,128.0,34.1
HSS7_500X0_375,28.56,7.84,7.5,0.375,0.349,50.2,17.9,13.4,2.53,50.2,17.9,13.4,2.53,100.0,26.8
HSS7_500X0_312,23.97,6.59,7.5,0.312,0.291,42.9,15.1,11.4,2.55,42.9,15.1,11.4,2.55,85.8,22.9
HSS7_500X0_250,19.38,5.32,7.5,0.25,0.233,35.2,12.3,9.37,2.57,35.2,12.3,9.37,2.57,70.3,18.7
HSS7_500X0_188,14.7,4.0,7.5,0.188,0.174,26.9,9.34,7.17,2.59,26.9,9.34,7.17,2.59,53.8,14.3
HSS7_000X0_500,34.74,9.55,7.0,0.5,0.465,51.2,19.9,14.6,2.32,51.2,19.9,14.6,2.32,102.0,29.3
HSS7_000X0_375,26.56,7.29,7.0,0.375,0.349,40.4,15.5,11.6,2.35,40.4,15.5,11.6,2.35,80.9,23.1
HSS7_000X0_312,22.31,6.13,7.0,0.312,0.291,34.6,13.1,9.88,2.37,34.6,13.1,9.88,2.37,69.1,19.8
HSS7_000X0_250,18.04,4.95,7.0,0.25,0.233,28.4,10.7,8.11,2.39,28.4,10.7,8.11,2.39,56.8,16.2
HSS7_000X0_188,13.69,3.73,7.0,0.188,0.174,21.7,8.11,6.21,2.41,21.7,8.11,6.21,2.41,43.5,12.4
HSS7_000X0_125,9.19,2.51,7.0,0.125,0.116,14.9,5.5,4.25,2.43,14.9,5.5,4.25,2.43,29.7,8.49
HSS6_875X0_375,26.06,7.16,6.88,0.375,0.349,38.2,14.9,11.1,2.31,38.2,14.9,11.1,2.31,76.4,22.2
HSS6_875X0_312,21.89,6.02,6.88,0.312,0.291,32.7,12.6,9.51,2.33,32.7,12.6,9.51,2.33,65.4,19.0
HSS6_875X0_250,17.71,4.86,6.88,0.25,0.233,26.8,10.3,7.81,2.35,26.8,10.3,7.81,2.35,53.7,15.6
HSS6_875X0_188,13.44,3.66,6.88,0.188,0.174,20.6,7.81,5.99,2.37,20.6,7.81,5.99,2.37,41.1,12.0
HSS6_625X0_500,32.74,9.0,6.63,0.5,0.465,42.9,17.7,13.0,2.18,42.9,17.7,13.0,2.18,85.9,25.9
HSS6_625X0_432,28.6,7.86,6.63,0.432,0.402,38.2,15.6,11.5,2.2,38.2,15.6,11.5,2.2,76.4,23.1
HSS6_625X0_375,25.06,6.88,6.63,0.375,0.349,34.0,13.8,10.3,2.22,34.0,13.8,10.3,2.22,68.0,20.5
HSS6_625X0_312,21.06,5.79,6.63,0.312,0.291,29.1,11.7,8.79,2.24,29.1,11.7,8.79,2.24,58.2,17.6
HSS6_625X0_280,18.99,5.2,6.63,0.28,0.26,26.4,10.5,7.96,2.25,26.4,10.5,7.96,2.25,52.7,15.9
HSS6_625X0_250,17.04,4.68,6.63,0.25,0.233,23.9,9.52,7.22,2.26,23.9,9.52,7.22,2.26,47.9,14.4
HSS6_625X0_188,12.94,3.53,6.63,0.188,0.174,18.4,7.24,5.54,2.28,18.4,7.24,5.54,2.28,36.7,11.1
HSS6_625X0_125,8.69,2.37,6.63,0.125,0.116,12.6,4.92,3.79,2.3,12.6,4.92,3.79,2.3,25.1,7.59
HSS6_000X0_500,29.4,8.09,6.0,0.5,0.465,31.2,14.3,10.4,1.96,31.2,14.3,10.4,1.96,62.4,20.8
HSS6_000X0_375,22.55,6.2,6.0,0.375,0.349,24.8,11.2,8.28,2.0,24.8,11.2,8.28,2.0,49.7,16.6
HSS6_000X0_312,18.97,5.22,6.0,0.312,0.291,21.3,9.49,7.11,2.02,21.3,9.49,7.11,2.02,42.6,14.2
HSS6_000X0_280,17.12,4.69,6.0,0.28,0.26,19.3,8.57,6.45,2.03,19.3,8.57,6.45,2.03,38.7,12.9
HSS6_000X0_250,15.37,4.22,6.0,0.25,0.233,17.6,7.75,5.86,2.04,17.6,7.75,5.86,2.04,35.2,11.7
