shape,weight,area,d,b,t,y,yp,Ix,Zx,Sx,rx,Iy,Zy,Sy,ry,ro,H
DBL_L6X4X3_4X3_4LLBB,47.2,13.9,6.0,4.0,0.75,2.07,1.37,49.0,22.2,12.5,1.88,46.5,20.1,10.6,1.83,3.12,0.705
DBL_L6X4X5_8LLBB,40.0,11.7,6.0,4.0,0.625,2.03,1.31,42.0,18.9,10.6,1.89,27.4,12.1,6.85,1.53,2.98,0.669
DBL_L6X4X5_8X3_8LLBB,40.0,11.7,6.0,4.0,0.625,2.03,1.31,42.0,18.9,10.6,1.89,32.2,14.3,7.69,1.66,3.05,0.684
DBL_L6X4X5_8X3_4LLBB,40.0,11.7,6.0,4.0,0.625,2.03,1.31,42.0,18.9,10.6,1.89,37.9,16.5,8.66,1.8,3.13,0.7
DBL_L6X4X9_16LLBB,36.2,10.6,6.0,4.0,0.563,2.0,1.28,38.4,17.2,9.62,1.9,24.5,10.6,6.12,1.52,2.98,0.667
DBL_L6X4X9_16X3_8LLBB,36.2,10.6,6.0,4.0,0.563,2.0,1.28,38.4,17.2,9.62,1.9,28.9,12.6,6.9,1.65,3.05,0.682
DBL_L6X4X9_16X3_4LLBB,36.2,10.6,6.0,4.0,0.563,2.0,1.28,38.4,17.2,9.62,1.9,34.0,14.6,7.77,1.79,3.13,0.697
DBL_L6X4X1_2LLBB,32.4,9.5,6.0,4.0,0.5,1.98,1.25,34.6,15.4,8.62,1.91,21.7,9.32,5.42,1.51,2.99,0.665
DBL_L6X4X1_2X3_8LLBB,32.4,9.5,6.0,4.0,0.5,1.98,1.25,34.6,15.4,8.62,1.91,25.6,11.1,6.11,1.64,3.05,0.679
DBL_L6X4X1_2X3_4LLBB,32.4,9.5,6.0,4.0,0.5,1.98,1.25,34.6,15.4,8.62,1.91,29.8,12.9,6.81,1.77,3.13,0.695
DBL_L6X4X7_16LLBB,28.6,8.36,6.0,4.0,0.438,1.95,1.22,30.8,13.6,7.62,1.92,18.8,8.0,4.7,1.5,2.99,0.663
DBL_L6X4X7_16X3_8LLBB,28.6,8.36,6.0,4.0,0.438,1.95,1.22,30.8,13.6,7.62,1.92,21.9,9.57,5.23,1.62,3.06,0.678
DBL_L6X4X7_16X3_4LLBB,28.6,8.36,6.0,4.0,0.438,1.95,1.22,30.8,13.6,7.62,1.92,25.9,11.1,5.92,1.76,3.13,0.693
DBL_L6X4X3_8LLBB,24.6,7.22,6.0,4.0,0.375,1.93,1.19,26.8,11.8,6.6,1.93,16.0,6.74,4.0,1.49,2.99,0.662
DBL_L6X4X3_8X3_8LLBB,24.6,7.22,6.0,4.0,0.375,1.93,1.19,26.8,11.8,6.6,1.93,18.7,8.09,4.47,1.61,3.06,0.676
DBL_L6X4X3_8X3_4LLBB,24.6,7.22,6.0,4.0,0.375,1.93,1.19,26.8,11.8,6.6,1.93,22.1,9.44,5.05,1.75,3.13,0.691
DBL_L6X4X5_16LLBB,20.6,6.06,6.0,4.0,0.313,1.9,1.15,22.8,9.92,5.54,1.94,13.3,5.5,3.32,1.48,3.0,0.661
DBL_L6X4X5_16X3_8LLBB,20.6,6.06,6.0,4.0,0.313,1.9,1.15,22.8,9.92,5.54,1.94,15.5,6.64,3.7,1.6,3.06,0.674
DBL_L6X4X5_16X3_4LLBB,20.6,6.06,6.0,4.0,0.313,1.9,1.15,22.8,9.92,5.54,1.94,18.3,7.77,4.18,1.74,3.13,0.689
DBL_L6X3_1_2X1_2LLBB,30.6,9.0,6.0,3.5,0.5,2.07,1.5,33.2,15.0,8.46,1.92,14.5,7.46,4.14,1.27,2.94,0.615
DBL_L6X3_1_2X1_2X3_8LLBB,30.6,9.0,6.0,3.5,0.5,2.07,1.5,33.2,15.0,8.46,1.92,17.6,9.15,4.77,1.4,2.99,0.63
DBL_L6X3_1_2X1_2X3_4LLBB,30.6,9.0,6.0,3.5,0.5,2.07,1.5,33.2,15.0,8.46,1.92,21.3,10.8,5.5,1.54,3.06,0.646
DBL_L6X3_1_2X3_8LLBB,23.4,6.88,6.0,3.5,0.375,2.02,1.41,25.8,11.5,6.46,1.93,10.9,5.37,3.11,1.26,2.95,0.613
DBL_L6X3_1_2X3_8X3_8LLBB,23.4,6.88,6.0,3.5,0.375,2.02,1.41,25.8,11.5,6.46,1.93,13.1,6.66,3.55,1.38,3.0,0.627
DBL_L6X3_1_2X3_8X3_4LLBB,23.4,6.88,6.0,3.5,0.375,2.02,1.41,25.8,11.5,6.46,1.93,15.9,7.95,4.1,1.52,3.07,0.642
DBL_L6X3_1_2X5_16LLBB,19.6,5.78,6.0,3.5,0.313,2.0,1.38,21.8,9.68,5.44,1.94,9.03,4.37,2.58,1.25,2.95,0.612
DBL_L6X3_1_2X5_16X3_8LLBB,19.6,5.78,6.0,3.5,0.313,2.0,1.38,21.8,9.68,5.44,1.94,10.8,5.45,2.93,1.37,3.0,0.625
DBL_L6X3_1_2X5_16X3_4LLBB,19.6,5.78,6.0,3.5,0.313,2.0,1.38,21.8,9.68,5.44,1.94,13.0,6.54,3.35,1.5,3.07,0.641
DBL_L5X3_1_2X3_4LLBB,39.6,11.7,5.0,3.5,0.75,1.74,1.1,27.8,15.2,8.52,1.55,22.6,11.6,6.46,1.39,2.49,0.699
DBL_L5X3_1_2X3_4X3_8LLBB,39.6,11.7,5.0,3.5,0.75,1.74,1.1,27.8,15.2,8.52,1.55,27.4,13.8,7.43,1.53,2.57,0.717
DBL_L5X3_1_2X3_4X3_4LLBB,39.6,11.7,5.0,3.5,0.75,1.74,1.1,27.8,15.2,8.52,1.55,33.0,16.0,8.52,1.68,2.66,0.736
DBL_L5X3_1_2X5_8LLBB,33.6,9.86,5.0,3.5,0.625,1.69,1.06,24.0,13.0,7.26,1.56,18.5,9.34,5.29,1.37,2.49,0.693
DBL_L5X3_1_2X5_8X3_8LLBB,33.6,9.86,5.0,3.5,0.625,1.69,1.06,24.0,13.0,7.26,1.56,22.2,11.2,6.02,1.5,2.57,0.711
DBL_L5X3_1_2X5_8X3_4LLBB,33.6,9.86,5.0,3.5,0.625,1.69,1.06,24.0,13.0,7.26,1.56,26.8,13.0,6.92,1.65,2.66,0.73
DBL_L5X3_1_2X1_2LLBB,27.2,8.0,5.0,3.5,0.5,1.65,1.0,20.0,10.7,5.94,1.58,14.6,7.21,4.17,1.35,2.5,0.688
DBL_L5X3_1_2X1_2X3_8LLBB,27.2,8.0,5.0,3.5,0.5,1.65,1.0,20.0,10.7,5.94,1.58,17.5,8.71,4.75,1.48,2.58,0.705
DBL_L5X3_1_2X1_2X3_4LLBB,27.2,8.0,5.0,3.5,0.5,1.65,1.0,20.0,10.7,5.94,1.58,21.0,10.2,5.42,1.62,2.66,0.724
DBL_L5X3_1_2X3_8LLBB,20.8,6.1,5.0,3.5,0.375,1.6,0.933,15.5,8.18,4.56,1.59,10.8,5.21,3.09,1.33,2.51,0.683
DBL_L5X3_1_2X3_8X3_8LLBB,20.8,6.1,5.0,3.5,0.375,1.6,0.933,15.5,8.18,4.56,1.59,13.0,6.35,3.53,1.46,2.58,0.7
DBL_L5X3_1_2X3_8X3_4LLBB,20.8,6.1,5.0,3.5,0.375,1.6,0.933,15.5,8.18,4.56,1.59,15.4,7.5,3.97,1.59,2.66,0.718
DBL_L5X3_1_2X5_16LLBB,17.4,5.12,5.0,3.5,0.313,1.57,0.904,13.2,6.9,3.84,1.6,8.92,4.24,2.55,1.32,2.51,0.682
DBL_L5X3_1_2X5_16X3_8LLBB,17.4,5.12,5.0,3.5,0.313,1.57,0.904,13.2,6.9,3.84,1.6,10.6,5.2,2.87,1.44,2.58,0.698
DBL_L5X3_1_2X5_16X3_4LLBB,17.4,5.12,5.0,3.5,0.313,1.57,0.904,13.2,6.9,3.84,1.6,12.8,6.16,3.3,1.58,2.66,0.716
DBL_L5X3_1_2X1_4LLBB,14.0,4.14,5.0,3.5,0.25,1.55,0.86,10.7,5.56,3.1,1.61,7.1,3.33,2.03,1.31,2.52,0.68
DBL_L5X3_1_2X1_4X3_8LLBB,14.0,4.14,5.0,3.5,0.25,1.55,0.86,10.7,5.56,3.1,1.61,8.47,4.1,2.3,1.43,2.58,0.696
DBL_L5X3_1_2X1_4X3_4LLBB,14.0,4.14,5.0,3.5,0.25,1.55,0.86,10.7,5.56,3.1,1.61,10.2,4.88,2.63,1.57,2.66,0.714
DBL_L5X3X1_2LLBB,25.6,7.5,5.0,3.0,0.5,1.74,1.25,18.9,10.2,5.78,1.58,9.24,5.6,3.08,1.11,2.44,0.628
DBL_L5X3X1_2X3_8LLBB,25.6,7.5,5.0,3.0,0.5,1.74,1.25,18.9,10.2,5.78,1.58,11.5,7.0,3.61,1.24,2.51,0.646
DBL_L5X3X1_2X3_4LLBB,25.6,7.5,5.0,3.0,0.5,1.74,1.25,18.9,10.2,5.78,1.58,14.5,8.41,4.3,1.39,2.58,0.667
DBL_L5X3X7_16LLBB,22.6,6.62,5.0,3.0,0.438,1.72,1.22,16.8,9.06,5.12,1.59,8.01,4.78,2.67,1.1,2.45,0.626
DBL_L5X3X7_16X3_8LLBB,22.6,6.62,5.0,3.0,0.438,1.72,1.22,16.8,9.06,5.12,1.59,10.0,6.02,3.14,1.23,2.51,0.644
DBL_L5X3X7_16X3_4LLBB,22.6,6.62,5.0,3.0,0.438,1.72,1.22,16.8,9.06,5.12,1.59,12.6,7.26,3.73,1.38,2.58,0.664
DBL_L5X3X3_8LLBB,19.6,5.72,5.0,3.0,0.375,1.69,1.19,14.7,7.86,4.44,1.6,6.8,3.99,2.27,1.09,2.45,0.624
DBL_L5X3X3_8X3_8LLBB,19.6,5.72,5.0,3.0,0.375,1.69,1.19,14.7,7.86,4.44,1.6,8.51,5.07,2.67,1.22,2.51,0.642
DBL_L5X3X3_8X3_4LLBB,19.6,5.72,5.0,3.0,0.375,1.69,1.19,14.7,7.86,4.44,1.6,10.6,6.14,3.14,1.36,2.59,0.661
DBL_L5X3X5_16LLBB,16.4,4.82,5.0,3.0,0.313,1.67,1.14,12.5,6.64,3.74,1.61,5.62,3.24,1.87,1.08,2.46,0.623
DBL_L5X3X5_16X3_8LLBB,16.4,4.82,5.0,3.0,0.313,1.67,1.14,12.5,6.64,3.74,1.61,7.06,4.15,2.21,1.21,2.52,0.64
DBL_L5X3X5_16X3_4LLBB,16.4,4.82,5.0,3.0,0.313,1.67,1.14,12.5,6.64,3.74,1.61,8.78,5.05,2.6,1.35,2.59,0.659
DBL_L5X3X1_4LLBB,13.2,3.88,5.0,3.0,0.25,1.64,1.12,10.2,5.36,3.02,1.62,4.44,2.51,1.48,1.07,2.46,0.622
DBL_L5X3X1_4X3_8LLBB,13.2,3.88,5.0,3.0,0.25,1.64,1.12,10.2,5.36,3.02,1.62,5.49,3.24,1.72,1.19,2.52,0.638
DBL_L5X3X1_4X3_4LLBB,13.2,3.88,5.0,3.0,0.25,1.64,1.12,10.2,5.36,3.02,1.62,6.86,3.97,2.03,1.33,2.59,0.657
DBL_L4X3_1_2X1_2LLBB,23.8,7.0,4.0,3.5,0.5,1.24,0.5,10.6,6.92,3.84,1.23,14.5,6.96,4.14,1.44,2.14,0.784
DBL_L4X3_1_2X1_2X3_8LLBB,23.8,7.0,4.0,3.5,0.5,1.24,0.5,10.6,6.92,3.84,1.23,17.3,8.27,4.69,1.57,2.23,0.802
DBL_L4X3_1_2X1_2X3_4LLBB,23.8,7.0,4.0,3.5,0.5,1.24,0.5,10.6,6.92,3.84,1.23,20.7,9.58,5.34,1.72,2.33,0.819
DBL_L4X3_1_2X3_8LLBB,18.2,5.36,4.0,3.5,0.375,1.2,0.427,8.3,5.32,2.96,1.25,10.8,5.08,3.09,1.42,2.14,0.778
DBL_L4X3_1_2X3_8X3_8LLBB,18.2,5.36,4.0,3.5,0.375,1.2,0.427,8.3,5.32,2.96,1.25,12.9,6.08,3.5,1.55,2.23,0.795
DBL_L4X3_1_2X3_8X3_4LLBB,18.2,5.36,4.0,3.5,0.375,1.2,0.427,8.3,5.32,2.96,1.25,15.3,7.09,3.95,1.69,2.33,0.813
DBL_L4X3_1_2X5_16LLBB,15.4,4.5,4.0,3.5,0.313,1.17,0.4,7.06,4.48,2.5,1.25,8.82,4.15,2.52,1.4,2.14,0.775
DBL_L4X3_1_2X5_16X3_8LLBB,15.4,4.5,4.0,3.5,0.313,1.17,0.4,7.06,4.48,2.5,1.25,10.5,5.0,2.85,1.53,2.23,0.792
DBL_L4X3_1_2X5_16X3_4LLBB,15.4,4.5,4.0,3.5,0.313,1.17,0.4,7.06,4.48,2.5,1.25,12.7,5.84,3.28,1.68,2.33,0.81
DBL_L4X3_1_2X1_4LLBB,12.4,3.64,4.0,3.5,0.25,1.14,0.36,5.78,3.62,2.02,1.26,7.03,3.27,2.01,1.39,2.14,0.773
DBL_L4X3_1_2X1_4X3_8LLBB,12.4,3.64,4.0,3.5,0.25,1.14,0.36,5.78,3.62,2.02,1.26,8.41,3.95,2.28,1.52,2.22,0.79
DBL_L4X3_1_2X1_4X3_4LLBB,12.4,3.64,4.0,3.5,0.25,1.14,0.36,5.78,3.62,2.02,1.26,10.0,4.63,2.58,1.66,2.32,0.807
DBL_L4X3X5_8LLBB,27.2,7.98,4.0,3.0,0.625,1.37,0.808,12.0,8.16,4.56,1.23,11.7,6.92,3.9,1.21,2.02,0.728
DBL_L4X3X5_8X3_8LLBB,27.2,7.98,4.0,3.0,0.625,1.37,0.808,12.0,8.16,4.56,1.23,14.5,8.41,4.55,1.35,2.11,0.75
DBL_L4X3X5_8X3_4LLBB,27.2,7.98,4.0,3.0,0.625,1.37,0.808,12.0,8.16,4.56,1.23,18.0,9.91,5.33,1.5,2.21,0.773
DBL_L4X3X1_2LLBB,22.2,6.5,4.0,3.0,0.5,1.32,0.75,10.0,6.72,3.74,1.24,9.2,5.34,3.07,1.19,2.02,0.721
DBL_L4X3X1_2X3_8LLBB,22.2,6.5,4.0,3.0,0.5,1.32,0.75,10.0,6.72,3.74,1.24,11.3,6.56,3.55,1.32,2.11,0.743
DBL_L4X3X1_2X3_4LLBB,22.2,6.5,4.0,3.0,0.5,1.32,0.75,10.0,6.72,3.74,1.24,14.0,7.78,4.15,1.47,2.2,0.765
DBL_L4X3X3_8LLBB,17.0,4.98,4.0,3.0,0.375,1.27,0.68,7.88,5.2,2.88,1.26,6.82,3.86,2.27,1.17,2.03,0.715
DBL_L4X3X3_8X3_8LLBB,17.0,4.98,4.0,3.0,0.375,1.27,0.68,7.88,5.2,2.88,1.26,8.42,4.79,2.64,1.3,2.11,0.736
DBL_L4X3X3_8X3_4LLBB,17.0,4.98,4.0,3.0,0.375,1.27,0.68,7.88,5.2,2.88,1.26,10.3,5.73,3.05,1.44,2.2,0.757
DBL_L4X3X5_16LLBB,14.4,4.18,4.0,3.0,0.313,1.25,0.656,6.72,4.38,2.44,1.27,5.62,3.14,1.87,1.16,2.03,0.712
DBL_L4X3X5_16X3_8LLBB,14.4,4.18,4.0,3.0,0.313,1.25,0.656,6.72,4.38,2.44,1.27,6.96,3.92,2.18,1.29,2.11,0.733
DBL_L4X3X5_16X3_4LLBB,14.4,4.18,4.0,3.0,0.313,1.25,0.656,6.72,4.38,2.44,1.27,8.55,4.7,2.53,1.43,2.2,0.754
DBL_L4X3X1_4LLBB,11.6,3.38,4.0,3.0,0.25,1.22,0.62,5.5,3.54,1.98,1.27,4.47,2.45,1.49,1.15,2.03,0.71
DBL_L4X3X1_4X3_8LLBB,11.6,3.38,4.0,3.0,0.25,1.22,0.62,5.5,3.54,1.98,1.27,5.45,3.08,1.71,1.27,2.11,0.73
DBL_L4X3X1_4X3_4LLBB,11.6,3.38,4.0,3.0,0.25,1.22,0.62,5.5,3.54,1.98,1.27,6.72,3.72,1.99,1.41,2.2,0.751
DBL_L3_1_2X3X1_2LLBB,20.4,6.04,3.5,3.0,0.5,1.12,0.48,6.9,5.22,2.9,1.07,9.14,5.25,3.05,1.23,1.85,0.78
DBL_L3_1_2X3X1_2X3_8LLBB,20.4,6.04,3.5,3.0,0.5,1.12,0.48,6.9,5.22,2.9,1.07,11.3,6.38,3.55,1.37,1.94,0.801
DBL_L3_1_2X3X1_2X3_4LLBB,20.4,6.04,3.5,3.0,0.5,1.12,0.48,6.9,5.22,2.9,1.07,14.0,7.51,4.15,1.52,2.05,0.822
DBL_L3_1_2X3X7_16LLBB,18.2,5.34,3.5,3.0,0.438,1.09,0.449,6.2,4.64,2.58,1.08,7.95,4.52,2.65,1.22,1.85,0.776
DBL_L3_1_2X3X7_16X3_8LLBB,18.2,5.34,3.5,3.0,0.438,1.09,0.449,6.2,4.64,2.58,1.08,9.88,5.52,3.1,1.36,1.94,0.797
DBL_L3_1_2X3X7_16X3_4LLBB,18.2,5.34,3.5,3.0,0.438,1.09,0.449,6.2,4.64,2.58,1.08,12.2,6.52,3.61,1.51,2.05,0.818
DBL_L3_1_2X3X3_8LLBB,15.8,4.64,3.5,3.0,0.375,1.07,0.407,5.46,4.06,2.24,1.09,6.79,3.82,2.26,1.21,1.85,0.773
DBL_L3_1_2X3X3_8X3_8LLBB,15.8,4.64,3.5,3.0,0.375,1.07,0.407,5.46,4.06,2.24,1.09,8.46,4.69,2.65,1.35,1.94,0.794
DBL_L3_1_2X3X3_8X3_4LLBB,15.8,4.64,3.5,3.0,0.375,1.07,0.407,5.46,4.06,2.24,1.09,10.3,5.56,3.05,1.49,2.05,0.814
DBL_L3_1_2X3X5_16LLBB,13.2,3.9,3.5,3.0,0.313,1.05,0.38,4.66,3.44,1.9,1.09,5.62,3.11,1.87,1.2,1.85,0.77
DBL_L3_1_2X3X5_16X3_8LLBB,13.2,3.9,3.5,3.0,0.313,1.05,0.38,4.66,3.44,1.9,1.09,6.9,3.84,2.16,1.33,1.94,0.79
DBL_L3_1_2X3X5_16X3_4LLBB,13.2,3.9,3.5,3.0,0.313,1.05,0.38,4.66,3.44,1.9,1.09,8.54,4.57,2.53,1.48,2.04,0.811
DBL_L3_1_2X3X1_4LLBB,10.8,3.16,3.5,3.0,0.25,1.02,0.34,3.84,2.78,1.55,1.1,4.47,2.44,1.49,1.19,1.85,0.767
DBL_L3_1_2X3X1_4X3_8LLBB,10.8,3.16,3.5,3.0,0.25,1.02,0.34,3.84,2.78,1.55,1.1,5.51,3.04,1.73,1.32,1.94,0.787
DBL_L3_1_2X3X1_4X3_4LLBB,10.8,3.16,3.5,3.0,0.25,1.02,0.34,3.84,2.78,1.55,1.1,6.74,3.63,2.0,1.46,2.04,0.807
DBL_L3_1_2X2_1_2X1_2LLBB,18.8,5.54,3.5,2.5,0.5,1.2,0.73,6.48,5.04,2.82,1.08,5.45,3.88,2.18,0.992,1.75,0.706
DBL_L3_1_2X2_1_2X1_2X3_8LLBB,18.8,5.54,3.5,2.5,0.5,1.2,0.73,6.48,5.04,2.82,1.08,7.07,4.92,2.63,1.13,1.83,0.732
DBL_L3_1_2X2_1_2X1_2X3_4LLBB,18.8,5.54,3.5,2.5,0.5,1.2,0.73,6.48,5.04,2.82,1.08,9.08,5.96,3.16,1.28,1.93,0.759
DBL_L3_1_2X2_1_2X3_8LLBB,14.4,4.24,3.5,2.5,0.375,1.15,0.673,5.12,3.92,2.18,1.1,3.99,2.78,1.6,0.97,1.75,0.698
DBL_L3_1_2X2_1_2X3_8X3_8LLBB,14.4,4.24,3.5,2.5,0.375,1.15,0.673,5.12,3.92,2.18,1.1,5.22,3.57,1.94,1.11,1.83,0.724
DBL_L3_1_2X2_1_2X3_8X3_4LLBB,14.4,4.24,3.5,2.5,0.375,1.15,0.673,5.12,3.92,2.18,1.1,6.63,4.37,2.31,1.25,1.93,0.75
DBL_L3_1_2X2_1_2X5_16LLBB,12.2,3.58,3.5,2.5,0.313,1.13,0.636,4.4,3.34,1.85,1.11,3.3,2.26,1.32,0.96,1.76,0.695
DBL_L3_1_2X2_1_2X5_16X3_8LLBB,12.2,3.58,3.5,2.5,0.313,1.13,0.636,4.4,3.34,1.85,1.11,4.25,2.93,1.58,1.09,1.83,0.72
DBL_L3_1_2X2_1_2X5_16X3_4LLBB,12.2,3.58,3.5,2.5,0.313,1.13,0.636,4.4,3.34,1.85,1.11,5.5,3.61,1.91,1.24,1.92,0.746
DBL_L3_1_2X2_1_2X1_4LLBB,9.8,2.9,3.5,2.5,0.25,1.1,0.6,3.62,2.72,1.51,1.12,2.62,1.76,1.05,0.95,1.76,0.693
DBL_L3_1_2X2_1_2X1_4X3_8LLBB,9.8,2.9,3.5,2.5,0.25,1.1,0.6,3.62,2.72,1.51,1.12,3.38,2.3,1.26,1.08,1.83,0.717
DBL_L3_1_2X2_1_2X1_4X3_4LLBB,9.8,2.9,3.5,2.5,0.25,1.1,0.6,3.62,2.72,1.51,1.12,4.32,2.85,1.5,1.22,1.92,0.742
DBL_L3X2_1_2X1_2LLBB,17.0,5.0,3.0,2.5,0.5,0.995,0.5,4.14,3.72,2.06,0.91,5.41,3.73,2.16,1.04,1.57,0.774
DBL_L3X2_1_2X1_2X3_8LLBB,17.0,5.0,3.0,2.5,0.5,0.995,0.5,4.14,3.72,2.06,0.91,6.96,4.67,2.59,1.18,1.66,0.8
DBL_L3X2_1_2X1_2X3_4LLBB,17.0,5.0,3.0,2.5,0.5,0.995,0.5,4.14,3.72,2.06,0.91,8.84,5.6,3.07,1.33,1.78,0.824
DBL_L3X2_1_2X7_16LLBB,15.2,4.44,3.0,2.5,0.438,0.972,0.463,3.74,3.32,1.84,0.917,4.62,3.21,1.85,1.02,1.57,0.769
DBL_L3X2_1_2X7_16X3_8LLBB,15.2,4.44,3.0,2.5,0.438,0.972,0.463,3.74,3.32,1.84,0.917,5.97,4.05,2.22,1.16,1.66,0.795
DBL_L3X2_1_2X7_16X3_4LLBB,15.2,4.44,3.0,2.5,0.438,0.972,0.463,3.74,3.32,1.84,0.917,7.74,4.88,2.69,1.32,1.77,0.819
DBL_L3X2_1_2X3_8LLBB,13.2,3.86,3.0,2.5,0.375,0.949,0.427,3.3,2.9,1.61,0.924,3.94,2.71,1.58,1.01,1.57,0.764
DBL_L3X2_1_2X3_8X3_8LLBB,13.2,3.86,3.0,2.5,0.375,0.949,0.427,3.3,2.9,1.61,0.924,5.1,3.43,1.9,1.15,1.66,0.79
DBL_L3X2_1_2X3_8X3_4LLBB,13.2,3.86,3.0,2.5,0.375,0.949,0.427,3.3,2.9,1.61,0.924,6.52,4.15,2.27,1.3,1.77,0.815
DBL_L3X2_1_2X5_16LLBB,11.2,3.26,3.0,2.5,0.313,0.925,0.392,2.82,2.46,1.36,0.932,3.26,2.21,1.3,1.0,1.57,0.76
DBL_L3X2_1_2X5_16X3_8LLBB,11.2,3.26,3.0,2.5,0.313,0.925,0.392,2.82,2.46,1.36,0.932,4.24,2.82,1.58,1.14,1.66,0.785
DBL_L3X2_1_2X5_16X3_4LLBB,11.2,3.26,3.0,2.5,0.313,0.925,0.392,2.82,2.46,1.36,0.932,5.42,3.43,1.89,1.29,1.76,0.81
DBL_L3X2_1_2X1_4LLBB,9.0,2.64,3.0,2.5,0.25,0.9,0.36,2.32,2.0,1.11,0.94,2.59,1.72,1.04,0.991,1.57,0.756
DBL_L3X2_1_2X1_4X3_8LLBB,9.0,2.64,3.0,2.5,0.25,0.9,0.36,2.32,2.0,1.11,0.94,3.31,2.22,1.23,1.12,1.66,0.781
DBL_L3X2_1_2X1_4X3_4LLBB,9.0,2.64,3.0,2.5,0.25,0.9,0.36,2.32,2.0,1.11,0.94,4.26,2.71,1.48,1.27,1.76,0.806
DBL_L3X2_1_2X3_16LLBB,6.78,2.0,3.0,2.5,0.188,0.874,0.333,1.8,1.52,0.846,0.947,1.92,1.25,0.768,0.98,1.57,0.753
DBL_L3X2_1_2X3_16X3_8LLBB,6.78,2.0,3.0,2.5,0.188,0.874,0.333,1.8,1.52,0.846,0.947,2.46,1.63,0.915,1.11,1.65,0.778
DBL_L3X2_1_2X3_16X3_4LLBB,6.78,2.0,3.0,2.5,0.188,0.874,0.333,1.8,1.52,0.846,0.947,3.13,2.0,1.09,1.25,1.75,0.802
DBL_L3X2X1_2LLBB,15.4,4.52,3.0,2.0,0.5,1.08,0.74,3.84,3.56,2.0,0.922,2.86,2.62,1.43,0.795,1.47,0.684
DBL_L3X2X1_2X3_8LLBB,15.4,4.52,3.0,2.0,0.5,1.08,0.74,3.84,3.56,2.0,0.922,3.99,3.47,1.82,0.94,1.55,0.717
DBL_L3X2X1_2X3_4LLBB,15.4,4.52,3.0,2.0,0.5,1.08,0.74,3.84,3.56,2.0,0.922,5.47,4.32,2.3,1.1,1.66,0.751
DBL_L3X2X3_8LLBB,11.8,3.5,3.0,2.0,0.375,1.03,0.667,3.08,2.78,1.56,0.937,2.08,1.87,1.04,0.771,1.48,0.675
DBL_L3X2X3_8X3_8LLBB,11.8,3.5,3.0,2.0,0.375,1.03,0.667,3.08,2.78,1.56,0.937,2.9,2.53,1.33,0.911,1.55,0.707
DBL_L3X2X3_8X3_4LLBB,11.8,3.5,3.0,2.0,0.375,1.03,0.667,3.08,2.78,1.56,0.937,4.01,3.18,1.69,1.07,1.65,0.739
DBL_L3X2X5_16LLBB,10.0,2.96,3.0,2.0,0.313,1.01,0.632,2.64,2.38,1.32,0.945,1.71,1.51,0.855,0.76,1.48,0.671
DBL_L3X2X5_16X3_8LLBB,10.0,2.96,3.0,2.0,0.313,1.01,0.632,2.64,2.38,1.32,0.945,2.38,2.07,1.09,0.897,1.56,0.702
DBL_L3X2X5_16X3_4LLBB,10.0,2.96,3.0,2.0,0.313,1.01,0.632,2.64,2.38,1.32,0.945,3.26,2.62,1.37,1.05,1.65,0.734
DBL_L3X2X1_4LLBB,8.2,2.4,3.0,2.0,0.25,0.98,0.6,2.18,1.94,1.08,0.953,1.35,1.17,0.675,0.749,1.48,0.668
DBL_L3X2X1_4X3_8LLBB,8.2,2.4,3.0,2.0,0.25,0.98,0.6,2.18,1.94,1.08,0.953,1.87,1.62,0.855,0.883,1.56,0.698
DBL_L3X2X1_4X3_4LLBB,8.2,2.4,3.0,2.0,0.25,0.98,0.6,2.18,1.94,1.08,0.953,2.55,2.07,1.07,1.03,1.65,0.73
DBL_L3X2X3_16LLBB,6.14,1.83,3.0,2.0,0.188,0.952,0.555,1.69,1.49,0.828,0.961,0.999,0.847,0.5,0.739,1.49,0.666
DBL_L3X2X3_16X3_8LLBB,6.14,1.83,3.0,2.0,0.188,0.952,0.555,1.69,1.49,0.828,0.961,1.38,1.19,0.631,0.869,1.55,0.695
DBL_L3X2X3_16X3_4LLBB,6.14,1.83,3.0,2.0,0.188,0.952,0.555,1.69,1.49,0.828,0.961,1.9,1.54,0.8,1.02,1.64,0.726
DBL_L2_1_2X2X3_8LLBB,10.6,3.1,2.5,2.0,0.375,0.826,0.433,1.83,1.96,1.09,0.766,2.06,1.79,1.03,0.815,1.29,0.754
DBL_L2_1_2X2X3_8X3_8LLBB,10.6,3.1,2.5,2.0,0.375,0.826,0.433,1.83,1.96,1.09,0.766,2.84,2.37,1.3,0.957,1.38,0.786
DBL_L2_1_2X2X3_8X3_4LLBB,10.6,3.1,2.5,2.0,0.375,0.826,0.433,1.83,1.96,1.09,0.766,3.82,2.95,1.61,1.11,1.49,0.817
DBL_L2_1_2X2X5_16LLBB,9.0,2.64,2.5,2.0,0.313,0.803,0.388,1.58,1.68,0.93,0.774,1.71,1.47,0.855,0.804,1.29,0.748
DBL_L2_1_2X2X5_16X3_8LLBB,9.0,2.64,2.5,2.0,0.313,0.803,0.388,1.58,1.68,0.93,0.774,2.35,1.96,1.07,0.943,1.38,0.781
DBL_L2_1_2X2X5_16X3_4LLBB,9.0,2.64,2.5,2.0,0.313,0.803,0.388,1.58,1.68,0.93,0.774,3.19,2.46,1.34,1.1,1.49,0.812
