shape,weight,area,d,b,t,y,yp,Ix,Zx,Sx,rx,Iy,Zy,Sy,ry,ro,H
DBL_L3_1_2X3_1_2X5_16X3_4,14.4,4.2,3.5,3.5,0.313,0.979,0.3,4.88,3.48,1.94,1.08,12.6,5.69,3.25,1.73,2.2,0.86
DBL_L3_1_2X3_1_2X1_4,11.6,3.4,3.5,3.5,0.25,0.954,0.243,4.0,2.82,1.57,1.09,7.05,3.24,2.01,1.44,1.99,0.826
DBL_L3_1_2X3_1_2X1_4X3_8,11.6,3.4,3.5,3.5,0.25,0.954,0.243,4.0,2.82,1.57,1.09,8.38,3.88,2.27,1.57,2.08,0.842
DBL_L3_1_2X3_1_2X1_4X3_4,11.6,3.4,3.5,3.5,0.25,0.954,0.243,4.0,2.82,1.57,1.09,10.1,4.52,2.61,1.72,2.19,0.857
DBL_L3X3X1_2,18.8,5.52,3.0,3.0,0.5,0.929,0.46,4.4,3.82,2.12,0.895,9.19,5.13,3.06,1.29,1.71,0.842
DBL_L3X3X1_2X3_8,18.8,5.52,3.0,3.0,0.5,0.929,0.46,4.4,3.82,2.12,0.895,11.3,6.16,3.55,1.43,1.82,0.861
DBL_L3X3X1_2X3_4,18.8,5.52,3.0,3.0,0.5,0.929,0.46,4.4,3.82,2.12,0.895,13.8,7.2,4.09,1.58,1.94,0.878
DBL_L3X3X7_16,16.6,4.86,3.0,3.0,0.438,0.907,0.405,3.96,3.4,1.89,0.903,7.96,4.41,2.65,1.28,1.71,0.838
DBL_L3X3X7_16X3_8,16.6,4.86,3.0,3.0,0.438,0.907,0.405,3.96,3.4,1.89,0.903,9.8,5.32,3.07,1.42,1.82,0.857
DBL_L3X3X7_16X3_4,16.6,4.86,3.0,3.0,0.438,0.907,0.405,3.96,3.4,1.89,0.903,12.0,6.23,3.56,1.57,1.94,0.874
DBL_L3X3X3_8,14.4,4.22,3.0,3.0,0.375,0.884,0.352,3.5,2.96,1.65,0.91,6.81,3.73,2.27,1.27,1.71,0.834
DBL_L3X3X3_8X3_8,14.4,4.22,3.0,3.0,0.375,0.884,0.352,3.5,2.96,1.65,0.91,8.39,4.52,2.63,1.41,1.81,0.853
DBL_L3X3X3_8X3_4,14.4,4.22,3.0,3.0,0.375,0.884,0.352,3.5,2.96,1.65,0.91,10.1,5.31,2.99,1.55,1.93,0.87
DBL_L3X3X5_16,12.2,3.56,3.0,3.0,0.313,0.86,0.297,3.0,2.52,1.4,0.918,5.65,3.06,1.88,1.26,1.71,0.83
DBL_L3X3X5_16X3_8,12.2,3.56,3.0,3.0,0.313,0.86,0.297,3.0,2.52,1.4,0.918,6.88,3.73,2.16,1.39,1.81,0.849
DBL_L3X3X5_16X3_4,12.2,3.56,3.0,3.0,0.313,0.86,0.297,3.0,2.52,1.4,0.918,8.44,4.4,2.5,1.54,1.93,0.866
DBL_L3X3X1_4,9.8,2.88,3.0,3.0,0.25,0.836,0.24,2.46,2.04,1.14,0.926,4.5,2.41,1.5,1.25,1.71,0.827
DBL_L3X3X1_4X3_8,9.8,2.88,3.0,3.0,0.25,0.836,0.24,2.46,2.04,1.14,0.926,5.48,2.95,1.72,1.38,1.81,0.845
DBL_L3X3X1_4X3_4,9.8,2.88,3.0,3.0,0.25,0.836,0.24,2.46,2.04,1.14,0.926,6.65,3.49,1.97,1.52,1.92,0.863
DBL_L3X3X3_16,7.42,2.18,3.0,3.0,0.188,0.812,0.182,1.9,1.55,0.866,0.933,3.35,1.77,1.12,1.24,1.71,0.823
DBL_L3X3X3_16X3_8,7.42,2.18,3.0,3.0,0.188,0.812,0.182,1.9,1.55,0.866,0.933,4.09,2.18,1.28,1.37,1.8,0.842
DBL_L3X3X3_16X3_4,7.42,2.18,3.0,3.0,0.188,0.812,0.182,1.9,1.55,0.866,0.933,4.97,2.59,1.47,1.51,1.91,0.859
