shape,weight,area,d,bf,tw,tf,k,k1,Ix,Zx,Sx,rx,Iy,Zy,Sy,ry,J,Cw,Wno,Sw1,Qf,Qw,rts,ho,PA,PB,PC,PD,T,WGi,WGo
W6X25,25.0,7.34,6.38,6.08,0.32,0.455,0.705,0.5625,53.4,18.9,16.7,2.7,17.1,8.56,5.61,1.52,0.461,150.0,9.01,6.23,3.88,9.39,1.74,5.93,29.9,36.0,18.8,24.9,4.5,3.5,–
W6X20,20.0,5.87,6.2,6.02,0.26,0.365,0.615,0.5625,41.4,14.9,13.4,2.66,13.3,6.72,4.41,1.5,0.24,113.0,8.78,4.82,3.07,7.38,1.7,5.84,29.5,35.5,18.4,24.4,4.5,3.5,–
W6X15,15.0,4.43,5.99,5.99,0.23,0.26,0.51,0.5625,29.1,10.8,9.72,2.56,9.32,4.75,3.11,1.45,0.101,76.5,8.58,3.34,2.15,5.32,1.66,5.73,29.1,35.1,18.0,24.0,4.5,3.5,–
W6X16,16.0,4.74,6.28,4.03,0.26,0.405,0.655,0.5625,32.1,11.7,10.2,2.6,4.43,3.39,2.2,0.967,0.223,38.2,5.92,2.42,2.24,5.77,1.13,5.88,23.7,27.7,16.6,20.6,4.5,2.25,–
W6X12,12.0,3.55,6.03,4.0,0.23,0.28,0.53,0.5625,22.1,8.3,7.31,2.49,2.99,2.32,1.5,0.918,0.0903,24.7,5.75,1.61,1.52,4.08,1.08,5.75,23.2,27.2,16.1,20.1,4.5,2.25,–
W6X9,9.0,2.68,5.9,3.94,0.17,0.215,0.465,0.5,16.4,6.23,5.56,2.47,2.2,1.72,1.11,0.905,0.0405,17.7,5.6,1.19,1.15,3.04,1.06,5.69,22.9,26.8,15.7,19.7,4.5,2.25,–
W6X8_5,8.5,2.52,5.83,3.94,0.17,0.195,0.445,0.5,14.9,5.73,5.1,2.43,1.99,1.56,1.01,0.89,0.0333,15.8,5.55,1.06,1.03,2.78,1.05,5.64,22.8,26.7,15.6,19.5,4.5,2.25,–
W5X19,19.0,5.56,5.15,5.03,0.27,0.43,0.73,0.4375,26.3,11.6,10.2,2.17,9.13,5.53,3.63,1.28,0.316,50.9,5.94,3.21,2.42,5.73,1.45,4.72,24.4,29.4,15.3,20.4,3.5,2.75,–
W5X16,16.0,4.71,5.01,5.0,0.24,0.36,0.66,0.4375,21.4,9.63,8.55,2.13,7.51,4.58,3.0,1.26,0.192,40.6,5.81,2.62,1.99,4.74,1.43,4.65,24.0,29.0,15.0,20.0,3.5,2.75,–
W4X13,13.0,3.83,4.16,4.06,0.28,0.345,0.595,0.5,11.3,6.28,5.46,1.72,3.86,2.92,1.9,1.0,0.151,14.0,3.87,1.36,1.24,3.09,1.16,3.82,19.5,23.6,12.4,16.4,2.625,2.25,–
