shape,weight,area,d,bf,tw,tf,k,k1,Ix,Zx,Sx,rx,Iy,Zy,Sy,ry,J,Cw,Wno,Sw1,Qf,Qw,rts,ho,PA,PB,PC,PD,T,WGi,WGo
W33X152,152.0,44.9,33.5,11.6,0.635,1.06,1.76,1.5,8160.0,559.0,487.0,13.5,273.0,73.9,47.2,2.47,12.4,71700.0,94.1,289.0,94.3,278.0,3.01,32.4,99.4,111.0,78.6,90.2,28.875,5.5,–
W33X141,141.0,41.5,33.3,11.5,0.605,0.96,1.66,1.5,7450.0,514.0,448.0,13.4,246.0,66.9,42.7,2.43,9.7,64400.0,93.0,257.0,84.6,253.0,2.98,32.3,98.5,110.0,78.1,89.6,28.875,5.5,–
W33X130,130.0,38.3,33.1,11.5,0.58,0.855,1.56,1.5,6710.0,467.0,406.0,13.2,218.0,59.5,37.9,2.39,7.37,56600.0,92.7,228.0,75.3,230.0,2.94,32.2,98.5,110.0,77.7,89.2,28.875,5.5,–
W33X118,118.0,34.7,32.9,11.5,0.55,0.74,1.44,1.5,5900.0,415.0,359.0,13.0,187.0,51.3,32.6,2.32,5.3,48300.0,92.5,197.0,65.1,205.0,2.89,32.2,97.5,109.0,77.3,88.8,28.875,5.5,–
W30X391,391.0,115.0,33.2,15.6,1.36,2.44,3.23,1.875,20700.0,1450.0,1250.0,13.4,1550.0,310.0,198.0,3.67,173.0,366000.0,120.0,1140.0,267.0,722.0,4.37,30.8,109.0,125.0,82.0,97.6,25.75,5.5,3
W30X357,357.0,105.0,32.8,15.5,1.24,2.24,3.03,1.8125,18700.0,1320.0,1140.0,13.3,1390.0,279.0,179.0,3.64,134.0,324000.0,118.0,1030.0,244.0,655.0,4.31,30.6,108.0,124.0,81.1,96.6,25.75,5.5,3
W30X326,326.0,95.9,32.4,15.4,1.14,2.05,2.84,1.75,16800.0,1190.0,1040.0,13.2,1240.0,252.0,162.0,3.6,103.0,287000.0,117.0,922.0,222.0,593.0,4.26,30.4,108.0,123.0,80.2,95.6,25.75,5.5,3
W30X292,292.0,86.0,32.0,15.3,1.02,1.85,2.64,1.75,14900.0,1060.0,930.0,13.2,1100.0,223.0,144.0,3.58,75.2,250000.0,115.0,816.0,199.0,529.0,4.22,30.2,107.0,122.0,79.3,94.6,25.75,5.5,3
W30X261,261.0,77.0,31.6,15.2,0.93,1.65,2.44,1.6875,13100.0,943.0,829.0,13.1,959.0,196.0,127.0,3.53,54.1,215000.0,114.0,714.0,176.0,469.0,4.16,30.0,106.0,121.0,78.4,93.6,25.75,5.5,3
W30X235,235.0,69.3,31.3,15.1,0.83,1.5,2.29,1.625,11700.0,847.0,748.0,13.0,855.0,175.0,114.0,3.51,40.3,190000.0,112.0,637.0,159.0,421.0,4.13,29.8,105.0,120.0,77.7,92.8,25.75,5.5,3
W30X211,211.0,62.3,30.9,15.1,0.775,1.32,2.1,1.625,10300.0,751.0,665.0,12.9,757.0,155.0,100.0,3.49,28.4,166000.0,112.0,556.0,140.0,372.0,4.11,29.6,104.0,119.0,76.9,92.0,25.75,5.5,3
W30X191,191.0,56.1,30.7,15.0,0.71,1.19,1.97,1.5625,9200.0,675.0,600.0,12.8,673.0,138.0,89.5,3.46,21.0,146000.0,111.0,494.0,125.0,335.0,4.06,29.5,104.0,119.0,76.4,91.4,25.75,5.5,3
W30X173,173.0,50.9,30.4,15.0,0.655,1.07,1.85,1.5625,8230.0,607.0,541.0,12.7,598.0,123.0,79.8,3.42,15.6,129000.0,110.0,441.0,113.0,301.0,4.03,29.3,103.0,118.0,75.8,90.8,25.75,5.5,3
W30X148,148.0,43.6,30.7,10.5,0.65,1.18,1.83,1.5625,6680.0,500.0,436.0,12.4,227.0,68.0,43.3,2.28,14.5,49400.0,77.5,240.0,85.8,248.0,2.77,29.5,90.5,101.0,71.9,82.4,25.75,5.5,–
W30X132,132.0,38.8,30.3,10.5,0.615,1.0,1.65,1.5,5770.0,437.0,380.0,12.2,196.0,58.4,37.2,2.25,9.72,42100.0,76.9,202.0,72.4,215.0,2.75,29.3,89.5,100.0,71.1,81.6,25.75,5.5,–
W30X124,124.0,36.5,30.2,10.5,0.585,0.93,1.58,1.5,5360.0,408.0,355.0,12.1,181.0,54.0,34.4,2.23,7.99,38600.0,76.8,188.0,67.5,202.0,2.73,29.3,89.5,100.0,70.9,81.4,25.75,5.5,–
W30X116,116.0,34.2,30.0,10.5,0.565,0.85,1.5,1.5,4930.0,378.0,329.0,12.0,164.0,49.2,31.3,2.19,6.43,34900.0,76.5,171.0,61.5,187.0,2.7,29.2,89.3,99.8,70.5,81.0,25.75,5.5,–
W30X108,108.0,31.7,29.8,10.5,0.545,0.76,1.41,1.5,4470.0,346.0,299.0,11.9,146.0,43.9,27.9,2.15,4.99,30900.0,76.2,152.0,54.9,170.0,2.67,29.0,88.9,99.4,70.1,80.6,25.75,5.5,–
W30X99,99.0,29.0,29.7,10.5,0.52,0.67,1.32,1.5,3990.0,312.0,269.0,11.7,128.0,38.6,24.5,2.1,3.77,26800.0,76.2,134.0,48.5,154.0,2.62,29.0,88.7,99.2,69.9,80.4,25.75,5.5,–
W30X90,90.0,26.3,29.5,10.4,0.47,0.61,1.26,1.4375,3610.0,283.0,245.0,11.7,115.0,34.7,22.1,2.09,2.84,24000.0,75.1,119.0,43.7,139.0,2.6,28.9,88.1,98.5,69.4,79.8,25.75,5.5,–
W27X539,539.0,159.0,32.5,15.3,1.97,3.54,4.33,1.8125,25600.0,1890.0,1570.0,12.7,2110.0,437.0,277.0,3.65,496.0,443000.0,111.0,1500.0,342.0,943.0,4.41,29.0,106.0,121.0,80.3,95.6,23.0,5.5,–
W27X368,368.0,109.0,30.4,14.7,1.38,2.48,3.27,1.875,16200.0,1240.0,1060.0,12.2,1310.0,279.0,179.0,3.48,170.0,255000.0,103.0,935.0,231.0,621.0,4.15,27.9,100.0,115.0,75.5,90.2,23.0,5.5,–
W27X336,336.0,99.2,30.0,14.6,1.26,2.28,3.07,1.8125,14600.0,1130.0,972.0,12.1,1180.0,252.0,162.0,3.45,131.0,226000.0,101.0,842.0,211.0,563.0,4.1,27.7,100.0,115.0,74.6,89.2,23.0,5.5,–
W27X307,307.0,90.2,29.6,14.4,1.16,2.09,2.88,1.8125,13100.0,1030.0,887.0,12.0,1050.0,227.0,146.0,3.41,101.0,199000.0,99.0,745.0,190.0,508.0,4.04,27.5,98.6,113.0,73.6,88.0,23.0,5.5,–
W27X281,281.0,83.1,29.3,14.4,1.06,1.93,2.72,1.75,11900.0,936.0,814.0,12.0,953.0,206.0,133.0,3.39,79.5,178000.0,98.5,685.0,176.0,466.0,4.0,27.4,98.6,113.0,73.0,87.4,23.0,5.5,–
W27X258,258.0,76.1,29.0,14.3,0.98,1.77,2.56,1.6875,10800.0,852.0,745.0,11.9,859.0,187.0,120.0,3.36,61.6,159000.0,97.3,616.0,160.0,424.0,3.96,27.2,97.7,112.0,72.3,86.6,23.0,5.5,–
W27X235,235.0,69.4,28.7,14.2,0.91,1.61,2.4,1.6875,9700.0,772.0,677.0,11.8,769.0,168.0,108.0,3.33,47.0,141000.0,96.2,550.0,145.0,384.0,3.92,27.1,96.8,111.0,71.6,85.8,23.0,5.5,–
W27X217,217.0,63.9,28.4,14.1,0.83,1.5,2.29,1.625,8910.0,711.0,627.0,11.8,704.0,154.0,100.0,3.32,37.6,128000.0,94.8,501.0,134.0,351.0,3.89,26.9,95.9,110.0,70.9,85.0,23.0,5.5,–
W27X194,194.0,57.1,28.1,14.0,0.75,1.34,2.13,1.5625,7860.0,631.0,559.0,11.7,619.0,136.0,88.1,3.29,27.1,111000.0,93.7,439.0,119.0,312.0,3.85,26.8,95.0,109.0,70.2,84.2,23.0,5.5,–
W27X178,178.0,52.5,27.8,14.1,0.725,1.19,1.98,1.5625,7020.0,570.0,505.0,11.6,555.0,122.0,78.8,3.25,20.1,98400.0,93.8,393.0,106.0,282.0,3.83,26.6,94.9,109.0,69.7,83.8,23.0,5.5,–
W27X161,161.0,47.6,27.6,14.0,0.66,1.08,1.87,1.5625,6310.0,515.0,458.0,11.5,497.0,109.0,70.9,3.23,15.1,87300.0,92.8,351.0,95.5,254.0,3.79,26.5,95.0,109.0,69.2,83.2,23.0,5.5,–
W27X146,146.0,43.2,27.4,14.0,0.605,0.975,1.76,1.5,5660.0,464.0,414.0,11.5,443.0,97.7,63.5,3.2,11.3,77200.0,92.5,316.0,86.3,229.0,3.76,26.4,94.0,108.0,68.8,82.8,23.0,5.5,–
W27X129,129.0,37.8,27.6,10.0,0.61,1.1,1.7,1.5,4760.0,395.0,345.0,11.2,184.0,57.6,36.8,2.21,11.1,32500.0,66.3,182.0,68.4,195.0,2.66,26.5,83.0,93.0,65.2,75.2,23.0,5.5,–
W27X114,114.0,33.6,27.3,10.1,0.57,0.93,1.53,1.5,4080.0,343.0,299.0,11.0,159.0,49.3,31.5,2.18,7.33,27600.0,66.6,156.0,58.4,170.0,2.65,26.4,82.7,92.8,64.7,74.8,23.0,5.5,–
W27X102,102.0,30.0,27.1,10.0,0.515,0.83,1.43,1.4375,3620.0,305.0,267.0,11.0,139.0,43.4,27.8,2.15,5.28,24000.0,65.7,136.0,51.7,151.0,2.62,26.3,82.1,92.1,64.2,74.2,23.0,5.5,–
W27X94,94.0,27.6,26.9,10.0,0.49,0.745,1.34,1.4375,3270.0,278.0,243.0,10.9,124.0,38.8,24.8,2.12,4.03,21300.0,65.4,122.0,46.3,137.0,2.59,26.2,81.8,91.8,63.8,73.8,23.0,5.5,–
W27X84,84.0,24.7,26.7,10.0,0.46,0.64,1.24,1.4375,2850.0,244.0,213.0,10.7,106.0,33.2,21.2,2.07,2.81,17900.0,65.2,104.0,39.8,121.0,2.54,26.1,81.5,91.5,63.4,73.4,23.0,5.5,–
W24X370,370.0,109.0,28.0,13.7,1.52,2.72,3.22,2.0,13400.0,1130.0,957.0,11.1,1160.0,267.0,170.0,3.27,201.0,186000.0,86.6,807.0,209.0,568.0,3.92,25.3,93.3,107.0,69.7,83.4,20.0,5.5,–
W24X335,335.0,98.3,27.5,13.5,1.38,2.48,2.98,1.875,11900.0,1020.0,864.0,11.0,1030.0,238.0,152.0,3.23,152.0,161000.0,84.4,707.0,188.0,506.0,3.86,25.0,91.5,105.0,68.5,82.0,20.0,5.5,–
W24X306,306.0,89.7,27.1,13.4,1.26,2.28,2.78,1.8125,10700.0,922.0,789.0,10.9,919.0,214.0,137.0,3.2,117.0,142000.0,83.1,635.0,172.0,459.0,3.81,24.8,90.6,104.0,67.6,81.0,20.0,5.5,–
W24X279,279.0,81.9,26.7,13.3,1.16,2.09,2.59,1.8125,9600.0,835.0,718.0,10.8,823.0,193.0,124.0,3.17,90.5,125000.0,81.8,569.0,156.0,416.0,3.76,24.6,89.7,103.0,66.7,80.0,20.0,5.5,–
W24X250,250.0,73.5,26.3,13.2,1.04,1.89,2.39,1.75,8490.0,744.0,644.0,10.7,724.0,171.0,110.0,3.14,66.6,108000.0,80.6,502.0,140.0,370.0,3.71,24.4,88.8,102.0,65.8,79.0,20.0,5.5,–
W24X229,229.0,67.2,26.0,13.1,0.96,1.73,2.23,1.6875,7650.0,675.0,588.0,10.7,651.0,154.0,99.4,3.11,51.3,96100.0,79.5,450.0,127.0,336.0,3.67,24.3,88.9,102.0,65.1,78.2,20.0,5.5,–
W24X207,207.0,60.7,25.7,13.0,0.87,1.57,2.07,1.625,6820.0,606.0,531.0,10.6,578.0,137.0,88.8,3.08,38.3,84100.0,78.4,400.0,115.0,302.0,3.62,24.1,88.0,101.0,64.4,77.4,20.0,5.5,–
W24X192,192.0,56.5,25.5,13.0,0.81,1.46,1.96,1.625,6260.0,559.0,491.0,10.5,530.0,126.0,81.8,3.07,30.8,76300.0,78.1,371.0,107.0,280.0,3.6,24.0,88.0,101.0,64.0,77.0,20.0,5.5,–
W24X176,176.0,51.7,25.2,12.9,0.75,1.34,1.84,1.5625,5680.0,511.0,450.0,10.5,479.0,115.0,74.3,3.04,23.9,68400.0,76.9,333.0,97.1,254.0,3.57,23.9,86.7,99.6,63.3,76.2,20.0,5.5,–
W24X162,162.0,47.8,25.0,13.0,0.705,1.22,1.72,1.5625,5170.0,468.0,414.0,10.4,443.0,105.0,68.4,3.05,18.5,62600.0,77.3,306.0,89.2,233.0,3.57,23.8,86.7,99.7,63.0,76.0,20.0,5.5,–
W24X146,146.0,43.0,24.7,12.9,0.65,1.09,1.59,1.5625,4580.0,418.0,371.0,10.3,391.0,93.2,60.5,3.01,13.4,54600.0,76.1,268.0,78.8,207.0,3.53,23.6,85.9,98.8,62.3,75.2,20.0,5.5,–
W24X131,131.0,38.6,24.5,12.9,0.605,0.96,1.46,1.5,4020.0,370.0,329.0,10.2,340.0,81.5,53.0,2.97,9.5,47100.0,75.9,235.0,69.5,184.0,3.49,23.5,85.6,98.5,61.9,74.8,20.0,5.5,–
W24X117,117.0,34.4,24.3,12.8,0.55,0.85,1.35,1.5,3540.0,327.0,291.0,10.1,297.0,71.4,46.5,2.94,6.72,40800.0,75.0,204.0,61.0,163.0,3.46,23.5,85.0,97.8,61.4,74.2,20.0,5.5,–
W24X104,104.0,30.7,24.1,12.8,0.5,0.75,1.25,1.4375,3100.0,289.0,258.0,10.1,259.0,62.4,40.7,2.91,4.72,35200.0,74.7,179.0,53.9,144.0,3.42,23.4,84.7,97.5,61.0,73.8,20.0,5.5,–
W24X103,103.0,30.3,24.5,9.0,0.55,0.98,1.48,1.5,3000.0,280.0,245.0,10.0,119.0,41.5,26.5,1.99,7.07,16600.0,52.9,117.0,48.7,139.0,2.4,23.5,74.0,83.0,58.0,67.0,20.0,5.5,–
W24X94,94.0,27.7,24.3,9.07,0.515,0.875,1.38,1.4375,2700.0,254.0,222.0,9.87,109.0,37.5,24.0,1.98,5.26,15000.0,53.1,105.0,43.8,126.0,2.4,23.4,73.9,83.0,57.7,66.7,20.0,5.5,–
W24X84,84.0,24.7,24.1,9.02,0.47,0.77,1.27,1.4375,2370.0,224.0,196.0,9.79,94.4,32.6,20.9,1.95,3.7,12800.0,52.6,91.3,38.4,111.0,2.37,23.3,73.5,82.5,57.2,66.2,20.0,5.5,–
W24X76,76.0,22.4,23.9,8.99,0.44,0.68,1.18,1.4375,2100.0,200.0,176.0,9.69,82.5,28.6,18.4,1.92,2.68,11100.0,52.2,79.8,33.8,98.9,2.33,23.2,73.0,82.0,56.8,65.8,20.0,5.5,–
W24X68,68.0,20.1,23.7,8.97,0.415,0.585,1.09,1.4375,1830.0,177.0,154.0,9.55,70.4,24.5,15.7,1.87,1.87,9430.0,51.8,68.0,28.9,87.0,2.3,23.1,72.6,81.6,56.4,65.3,20.0,5.5,–
W24X62,62.0,18.2,23.7,7.04,0.43,0.59,1.09,1.0625,1550.0,153.0,131.0,9.23,34.5,15.7,9.8,1.38,1.71,4620.0,40.7,42.2,22.5,75.3,1.75,23.1,66.8,73.8,54.4,61.5,20.75,3.5,–
W24X55,55.0,16.2,23.6,7.01,0.395,0.505,1.01,1.0,1350.0,134.0,114.0,9.11,29.1,13.3,8.3,1.34,1.18,3870.0,40.5,35.8,19.3,66.1,1.72,23.1,66.6,73.6,54.2,61.2,20.75,3.5,–
W21X275,275.0,81.8,24.1,12.9,1.22,2.19,3.37,1.8125,7690.0,749.0,638.0,9.7,787.0,191.0,122.0,3.1,107.0,94400.0,70.7,499.0,140.0,369.0,3.68,21.9,82.4,95.3,61.1,74.0,17.25,5.5,–
W21X248,248.0,73.8,23.7,12.8,1.1,1.99,3.17,1.75,6830.0,671.0,576.0,9.62,699.0,170.0,109.0,3.08,80.7,82400.0,69.5,442.0,126.0,330.0,3.63,21.7,81.6,94.4,60.2,73.0,17.25,5.5,–
W21X223,223.0,66.5,23.4,12.7,1.0,1.79,2.97,1.6875,6080.0,601.0,520.0,9.56,614.0,150.0,96.7,3.04,59.5,71700.0,68.6,390.0,113.0,295.0,3.57,21.6,80.9,93.6,59.5,72.2,17.25,5.5,–
W21X201,201.0,59.3,23.0,12.6,0.91,1.63,2.13,1.6875,5310.0,530.0,461.0,9.47,542.0,133.0,86.1,3.02,40.9,62000.0,67.3,346.0,102.0,264.0,3.55,21.4,81.1,93.7,58.6,71.2,17.25,5.5,–
W21X182,182.0,53.6,22.7,12.5,0.83,1.48,1.98,1.625,4730.0,476.0,417.0,9.4,483.0,119.0,77.2,3.0,30.7,54400.0,66.3,307.0,91.6,237.0,3.51,21.2,80.4,92.9,57.9,70.4,17.25,5.5,–
W21X166,166.0,48.8,22.5,12.4,0.75,1.36,1.86,1.5625,4280.0,432.0,380.0,9.36,435.0,108.0,70.0,2.99,23.6,48500.0,65.5,276.0,83.7,215.0,3.48,21.1,79.8,92.2,57.4,69.8,17.25,5.5,–
W21X147,147.0,43.2,22.1,12.5,0.72,1.15,1.65,1.5625,3630.0,373.0,329.0,9.17,376.0,92.6,60.1,2.95,15.4,41100.0,65.5,235.0,71.0,186.0,3.46,21.0,79.4,91.9,56.7,69.2,17.25,5.5,–
W21X132,132.0,38.8,21.8,12.4,0.65,1.04,1.54,1.5625,3220.0,333.0,295.0,9.12,333.0,82.3,53.5,2.93,11.3,36000.0,64.4,206.0,62.8,164.0,3.43,20.8,78.6,91.0,56.0,68.4,17.25,5.5,–
W21X122,122.0,35.9,21.7,12.4,0.6,0.96,1.46,1.5,2960.0,307.0,273.0,9.09,305.0,75.6,49.2,2.92,8.98,32700.0,64.3,191.0,58.7,153.0,3.4,20.7,78.5,90.9,55.8,68.2,17.25,5.5,–
W21X111,111.0,32.6,21.5,12.3,0.55,0.875,1.38,1.5,2670.0,279.0,249.0,9.05,274.0,68.2,44.5,2.9,6.83,29200.0,63.4,171.0,53.0,138.0,3.37,20.6,77.9,90.2,55.3,67.6,17.25,5.5,–
W21X101,101.0,29.8,21.4,12.3,0.5,0.8,1.3,1.4375,2420.0,253.0,227.0,9.02,248.0,61.7,40.3,2.89,5.21,26200.0,63.3,156.0,48.6,126.0,3.35,20.6,77.8,90.1,55.1,67.4,17.25,5.5,–
W21X93,93.0,27.3,21.6,8.42,0.58,0.93,1.43,0.9375,2070.0,221.0,192.0,8.7,92.9,34.7,22.1,1.84,6.03,9940.0,43.5,85.2,37.7,109.0,2.24,20.7,66.5,74.9,51.6,60.0,18.375,5.5,–
W21X83,83.0,24.4,21.4,8.36,0.515,0.835,1.34,0.875,1830.0,196.0,171.0,8.67,81.4,30.5,19.5,1.83,4.34,8630.0,43.0,75.0,33.7,96.8,2.21,20.6,66.0,74.4,51.2,59.5,18.375,5.5,–
W21X73,73.0,21.5,21.2,8.3,0.455,0.74,1.24,0.875,1600.0,172.0,151.0,8.64,70.6,26.6,17.0,1.81,3.02,7410.0,42.5,65.2,29.7,85.0,2.19,20.5,65.5,73.8,50.7,59.0,18.375,5.5,–
W21X68,68.0,20.0,21.1,8.27,0.43,0.685,1.19,0.875,1480.0,160.0,140.0,8.6,64.7,24.4,15.7,1.8,2.45,6760.0,42.2,59.8,27.4,78.7,2.17,20.4,65.3,73.6,50.5,58.7,18.375,5.5,–
W21X62,62.0,18.3,21.0,8.24,0.4,0.615,1.12,0.8125,1330.0,144.0,127.0,8.54,57.5,21.7,14.0,1.77,1.83,5960.0,42.0,53.2,24.6,71.2,2.15,20.4,65.1,73.3,50.2,58.5,18.375,5.5,–
W21X55,55.0,16.2,20.8,8.22,0.375,0.522,1.02,0.8125,1140.0,126.0,110.0,8.4,48.4,18.4,11.8,1.73,1.24,4980.0,41.7,44.7,20.8,61.8,2.11,20.3,64.7,72.9,49.8,58.0,18.375,5.5,–
W21X48,48.0,14.1,20.6,8.14,0.35,0.43,0.93,0.8125,959.0,107.0,93.0,8.24,38.7,14.9,9.52,1.66,0.803,3950.0,41.0,35.9,16.9,52.3,2.05,20.2,64.1,72.2,49.3,57.5,18.375,5.5,–
W21X57,57.0,16.7,21.1,6.56,0.405,0.65,1.15,0.8125,1170.0,129.0,111.0,8.36,30.6,14.8,9.35,1.35,1.77,3190.0,33.5,35.8,20.5,63.4,1.68,20.5,60.2,66.8,48.8,55.3,18.375,3.5,–
W21X50,50.0,14.7,20.8,6.53,0.38,0.535,1.04,0.8125,984.0,110.0,94.5,8.18,24.9,12.2,7.64,1.3,1.14,2570.0,33.1,28.9,16.7,53.9,1.64,20.3,59.6,66.1,48.1,54.7,18.375,3.5,–
W21X44,44.0,13.0,20.7,6.5,0.35,0.45,0.95,0.8125,843.0,95.4,81.6,8.06,20.7,10.2,6.37,1.26,0.77,2110.0,32.9,24.1,14.0,46.8,1.6,20.3,59.3,65.8,47.9,54.4,18.375,3.5,–
W18X311,311.0,91.6,22.3,12.0,1.52,2.74,3.24,1.5625,6970.0,754.0,624.0,8.72,795.0,207.0,132.0,2.95,176.0,76200.0,58.7,482.0,140.0,375.0,3.53,19.6,76.7,88.7,56.6,68.6,15.125,5.5,–
W18X283,283.0,83.3,21.9,11.9,1.4,2.5,3.0,1.5,6170.0,676.0,565.0,8.61,704.0,185.0,118.0,2.91,134.0,65900.0,57.7,429.0,127.0,339.0,3.47,19.4,75.8,87.7,55.7,67.6,15.125,5.5,–
W18X258,258.0,76.0,21.5,11.8,1.28,2.3,2.7,1.4375,5510.0,611.0,514.0,8.53,628.0,166.0,107.0,2.88,103.0,57600.0,56.6,384.0,116.0,306.0,3.42,19.2,75.1,86.9,54.8,66.6,15.125,5.5,–
W18X234,234.0,68.6,21.1,11.7,1.16,2.11,2.51,1.375,4900.0,549.0,466.0,8.44,558.0,149.0,95.8,2.85,78.7,50100.0,55.5,343.0,106.0,276.0,3.37,19.0,74.3,86.0,53.9,65.6,15.125,5.5,–
W18X211,211.0,62.3,20.7,11.6,1.06,1.91,2.31,1.375,4330.0,490.0,419.0,8.35,493.0,132.0,85.3,2.82,58.6,43400.0,54.5,302.0,94.6,246.0,3.32,18.8,73.4,85.0,53.0,64.6,15.125,5.5,–
W18X192,192.0,56.2,20.4,11.5,0.96,1.75,2.15,1.3125,3870.0,442.0,380.0,8.28,440.0,119.0,76.8,2.79,44.7,38000.0,53.6,270.0,86.0,222.0,3.28,18.7,72.7,84.2,52.3,63.8,15.125,5.5,–
W18X175,175.0,51.4,20.0,11.4,0.89,1.59,1.99,1.25,3450.0,398.0,344.0,8.2,391.0,106.0,68.8,2.76,33.8,33300.0,52.5,238.0,76.9,198.0,3.24,18.4,71.7,83.1,51.4,62.8,15.125,5.5,–
W18X158,158.0,46.3,19.7,11.3,0.81,1.44,1.84,1.25,3060.0,356.0,310.0,8.12,347.0,94.8,61.4,2.74,25.2,29000.0,51.6,210.0,69.0,177.0,3.2,18.3,71.0,82.3,50.7,62.0,15.125,5.5,–
W18X143,143.0,42.0,19.5,11.2,0.73,1.32,1.72,1.1875,2750.0,322.0,282.0,8.09,311.0,85.4,55.5,2.72,19.2,25700.0,50.9,188.0,62.8,160.0,3.17,18.2,70.4,81.6,50.2,61.4,15.125,5.5,–
W18X130,130.0,38.3,19.3,11.2,0.67,1.2,1.6,1.1875,2460.0,290.0,256.0,8.03,278.0,76.7,49.9,2.7,14.5,22700.0,50.7,170.0,57.2,146.0,3.13,18.1,70.2,81.4,49.8,61.0,15.125,5.5,–
W18X119,119.0,35.1,19.0,11.3,0.655,1.06,1.46,1.1875,2190.0,262.0,231.0,7.9,253.0,69.1,44.9,2.69,10.6,20300.0,50.7,152.0,50.6,131.0,3.13,17.9,69.9,81.2,49.3,60.6,15.125,5.5,–
W18X106,106.0,31.1,18.7,11.2,0.59,0.94,1.34,1.125,1910.0,230.0,204.0,7.84,220.0,60.5,39.4,2.66,7.48,17400.0,49.7,131.0,44.3,114.0,3.1,17.8,69.1,80.3,48.6,59.8,15.125,5.5,–
W18X97,97.0,28.5,18.6,11.1,0.535,0.87,1.27,1.125,1750.0,211.0,188.0,7.82,201.0,55.3,36.1,2.65,5.86,15800.0,49.2,119.0,40.7,105.0,3.08,17.7,68.7,79.8,48.3,59.4,15.125,5.5,–
W18X86,86.0,25.3,18.4,11.1,0.48,0.77,1.17,1.0625,1530.0,186.0,166.0,7.77,175.0,48.4,31.6,2.63,4.1,13600.0,48.9,105.0,36.0,92.4,3.05,17.6,68.4,79.5,47.9,59.0,15.125,5.5,–
W18X76,76.0,22.3,18.2,11.0,0.425,0.68,1.08,1.0625,1330.0,163.0,146.0,7.73,152.0,42.2,27.6,2.61,2.83,11700.0,48.2,90.1,31.5,80.6,3.02,17.5,67.9,78.9,47.4,58.4,15.125,5.5,–
W18X71,71.0,20.9,18.5,7.64,0.495,0.81,1.21,0.875,1170.0,146.0,127.0,7.5,60.3,24.7,15.8,1.7,3.49,4700.0,33.8,52.3,25.6,72.4,2.05,17.7,58.3,65.9,44.6,52.3,15.5,3.5,–
W18X65,65.0,19.1,18.4,7.59,0.45,0.75,1.15,0.875,1070.0,133.0,117.0,7.49,54.8,22.5,14.4,1.69,2.73,4240.0,33.5,47.7,23.6,66.3,2.03,17.7,58.0,65.6,44.4,52.0,15.5,3.5,–
W18X60,60.0,17.6,18.2,7.56,0.415,0.695,1.1,0.8125,984.0,123.0,108.0,7.47,50.1,20.6,13.3,1.68,2.17,3850.0,33.1,43.5,21.7,60.6,2.02,17.5,57.5,65.1,44.0,51.5,15.5,3.5,–
W18X55,55.0,16.2,18.1,7.53,0.39,0.63,1.03,0.8125,890.0,112.0,98.3,7.41,44.9,18.5,11.9,1.67,1.66,3430.0,32.9,39.0,19.6,55.3,2.0,17.5,57.3,64.8,43.7,51.3,15.5,3.5,–
W18X50,50.0,14.7,18.0,7.5,0.355,0.57,0.972,0.8125,800.0,101.0,88.9,7.38,40.1,16.6,10.7,1.65,1.24,3040.0,32.7,34.9,17.7,49.9,1.98,17.4,57.1,64.6,43.5,51.0,15.5,3.5,–
W18X46,46.0,13.5,18.1,6.06,0.36,0.605,1.01,0.8125,712.0,90.7,78.8,7.25,22.5,11.7,7.43,1.29,1.22,1720.0,26.5,24.3,15.1,44.9,1.58,17.5,52.9,59.0,42.3,48.3,15.5,3.5,–
W18X40,40.0,11.8,17.9,6.02,0.315,0.525,0.927,0.8125,612.0,78.4,68.4,7.21,19.1,10.0,6.35,1.27,0.81,1440.0,26.1,20.7,13.0,38.6,1.56,17.4,52.6,58.6,41.8,47.8,15.5,3.5,–
W18X35,35.0,10.3,17.7,6.0,0.3,0.425,0.827,0.75,510.0,66.5,57.6,7.04,15.3,8.06,5.12,1.22,0.506,1140.0,25.9,16.5,10.5,32.7,1.51,17.3,52.1,58.1,41.4,47.4,15.5,3.5,–
W16X100,100.0,29.4,17.0,10.4,0.585,0.985,1.39,1.125,1490.0,198.0,175.0,7.1,186.0,54.9,35.7,2.51,7.73,11900.0,41.6,107.0,38.7,98.5,2.92,16.0,63.3,73.7,44.4,54.8,13.25,5.5,–
W16X89,89.0,26.2,16.8,10.4,0.525,0.875,1.28,1.0625,1300.0,175.0,155.0,7.05,163.0,48.1,31.4,2.49,5.45,10200.0,41.4,94.2,34.4,87.3,2.88,15.9,63.1,73.5,44.0,54.4,13.25,5.5,–
W16X77,77.0,22.6,16.5,10.3,0.455,0.76,1.16,1.0625,1110.0,150.0,134.0,7.0,138.0,41.1,26.9,2.47,3.57,8590.0,40.5,79.3,29.4,74.4,2.85,15.7,62.3,72.6,43.3,53.6,13.25,5.5,–
W16X67,67.0,19.6,16.3,10.2,0.395,0.665,1.07,1.0,954.0,130.0,117.0,6.96,119.0,35.5,23.2,2.46,2.39,7300.0,39.9,67.6,25.5,64.1,2.82,15.6,61.7,71.9,42.8,53.0,13.25,5.5,–
W16X57,57.0,16.8,16.4,7.12,0.43,0.715,1.12,0.875,758.0,105.0,92.2,6.72,43.1,18.9,12.1,1.6,2.22,2660.0,27.9,35.5,18.8,52.0,1.92,15.7,52.6,59.7,39.9,47.0,13.625,3.5,–
