shape,weight,area,d,b,t,k,x,y,xp,yp,Ix,Zx,Sx,rx,Iy,Zy,Sy,ry,Iz,rz,Sz,J,Cw,ro,H,tan_a,Iw,zA,zB,zC,wA,wB,wC,SwA,SwB,SwC,SzA,SzB,SzC,PA,PA2,PB
L5X3X1_4,6.6,1.94,3.0,5.0,0.25,0.688,0.648,1.64,0.194,1.12,5.09,2.68,1.51,1.62,1.41,1.05,0.6,0.853,0.825,0.652,0.491,0.0438,0.0606,2.43,–,0.371,5.68,2.24,1.31,3.33,1.68,1.18,0.677,2.54,4.34,1.71,0.491,0.699,1.22,13.0,11.0,16
L4X4X3_4,18.5,5.44,4.0,4.0,0.75,1.13,1.27,1.27,0.68,0.68,7.62,5.02,2.79,1.18,7.62,5.02,2.79,1.18,3.25,0.774,1.81,1.02,1.12,2.1,0.64,1.0,12.0,2.56,0.0,2.56,1.3,1.8,1.3,4.69,–,4.69,2.5,1.81,2.5,12.0,12.0,16
L4X4X5_8,15.7,4.61,4.0,4.0,0.625,1.0,1.22,1.22,0.576,0.576,6.62,4.28,2.38,1.2,6.62,4.28,2.38,1.2,2.76,0.774,1.6,0.61,0.68,2.13,0.63,1.0,10.5,2.61,0.0,2.61,1.32,1.73,1.32,4.02,–,4.02,2.09,1.6,2.09,12.0,12.0,16
L4X4X1_2,12.8,3.75,4.0,4.0,0.5,0.875,1.18,1.18,0.469,0.469,5.52,3.5,1.96,1.21,5.52,3.5,1.96,1.21,2.25,0.776,1.35,0.322,0.366,2.16,0.63,1.0,8.79,2.65,0.0,2.65,1.34,1.67,1.34,3.32,–,3.32,1.68,1.35,1.68,12.0,12.0,16
L4X4X7_16,11.3,3.3,4.0,4.0,0.438,0.813,1.15,1.15,0.413,0.413,4.93,3.1,1.73,1.22,4.93,3.1,1.73,1.22,1.99,0.777,1.22,0.22,0.252,2.18,0.63,1.0,7.86,2.67,0.0,2.67,1.36,1.63,1.36,2.94,–,2.94,1.46,1.22,1.46,12.0,12.0,16
L4X4X3_8,9.8,2.86,4.0,4.0,0.375,0.75,1.13,1.13,0.358,0.358,4.32,2.69,1.5,1.23,4.32,2.69,1.5,1.23,1.73,0.779,1.08,0.141,0.162,2.19,0.63,1.0,6.91,2.7,0.0,2.7,1.36,1.6,1.36,2.56,–,2.56,1.27,1.08,1.27,12.0,12.0,16
L4X4X5_16,8.2,2.4,4.0,4.0,0.313,0.688,1.11,1.11,0.3,0.3,3.67,2.26,1.27,1.24,3.67,2.26,1.27,1.24,1.46,0.781,0.93,0.0832,0.0963,2.21,0.63,1.0,5.88,2.72,0.0,2.72,1.37,1.57,1.37,2.16,–,2.16,1.07,0.93,1.07,12.0,12.0,16
L4X4X1_4,6.6,1.93,4.0,4.0,0.25,0.625,1.08,1.08,0.241,0.241,3.0,1.82,1.03,1.25,3.0,1.82,1.03,1.25,1.19,0.783,0.778,0.0438,0.0505,2.22,0.63,1.0,4.82,2.74,0.0,2.74,1.39,1.53,1.39,1.76,–,1.76,0.856,0.778,0.856,12.0,12.0,16
L4X3_1_2X1_2,11.9,3.5,3.5,4.0,0.5,0.875,0.994,1.24,0.438,0.5,5.3,3.46,1.92,1.23,3.76,2.69,1.5,1.04,1.79,0.716,1.16,0.301,0.302,2.03,–,0.75,7.26,2.29,0.397,2.66,1.41,1.54,1.06,3.17,18.3,2.73,1.27,1.16,1.69,11.5,11.0,15
L4X3_1_2X3_8,9.1,2.68,3.5,4.0,0.375,0.75,0.947,1.2,0.335,0.427,4.15,2.66,1.48,1.25,2.96,2.06,1.16,1.05,1.39,0.719,0.939,0.132,0.134,2.06,–,0.755,5.73,2.35,0.387,2.69,1.43,1.48,1.08,2.44,14.8,2.13,0.972,0.939,1.29,11.5,11.0,15
