shape,weight,area,d,bf,tw,tf,k,y,yp,Ix,Zx,Sx,rx,Iy,Zy,Sy,ry,J,Cw,ro,H,PA,PB,PC,PD,WGi,WGo
WT18X326,326.0,96.2,20.5,17.6,1.97,3.54,4.49,5.35,2.73,3160.0,383.0,208.0,5.74,1610.0,290.0,184.0,4.1,295.0,3070.0,7.91,0.795,57.6,75.2,58.6,76.2,7.5,3
WT18X264_5,264.5,77.8,19.9,17.2,1.61,2.91,3.86,4.96,2.26,2440.0,298.0,164.0,5.6,1240.0,227.0,145.0,4.0,163.0,1600.0,7.72,0.794,56.0,73.2,57.0,74.2,7.5,3
WT18X243_5,243.5,71.7,19.7,17.1,1.5,2.68,3.63,4.84,2.1,2220.0,272.0,150.0,5.57,1120.0,206.0,131.0,3.96,128.0,1250.0,7.68,0.792,55.5,72.6,56.5,73.6,7.5,3
WT18X220_5,220.5,64.9,19.4,17.0,1.36,2.44,3.39,4.69,1.91,1980.0,242.0,134.0,5.52,997.0,184.0,117.0,3.92,96.6,914.0,7.6,0.792,54.8,71.8,55.8,72.8,7.5,3
WT18X197_5,197.5,58.1,19.2,16.8,1.22,2.2,3.15,4.53,1.73,1740.0,213.0,119.0,5.47,877.0,162.0,104.0,3.88,70.7,652.0,7.54,0.792,54.2,71.0,55.2,72.0,7.5,3
WT18X180_5,180.5,53.0,19.0,16.7,1.12,2.01,2.96,4.42,1.59,1570.0,192.0,107.0,5.43,786.0,146.0,94.0,3.85,54.1,491.0,7.49,0.792,53.7,70.4,54.7,71.4,7.5,3
WT18X165,165.0,48.4,18.8,16.6,1.02,1.85,2.8,4.3,1.46,1410.0,173.0,97.0,5.39,711.0,132.0,85.5,3.83,42.0,372.0,7.43,0.793,53.2,69.8,54.2,70.8,7.5,3
WT18X151,151.0,44.5,18.7,16.7,0.945,1.68,2.63,4.22,1.33,1280.0,158.0,88.8,5.37,648.0,120.0,77.8,3.82,32.1,285.0,7.41,0.792,53.1,69.8,54.1,70.8,7.5,3
WT18X141,141.0,41.5,18.6,16.6,0.885,1.57,2.52,4.16,1.25,1190.0,146.0,82.6,5.36,599.0,112.0,72.2,3.8,26.3,231.0,7.38,0.791,52.8,69.4,53.8,70.4,7.5,3
WT18X131,131.0,38.5,18.4,16.6,0.84,1.44,2.39,4.14,1.16,1110.0,137.0,77.5,5.36,545.0,102.0,65.8,3.76,20.8,185.0,7.39,0.785,52.4,69.0,53.4,70.0,7.5,3
WT18X123_5,123.5,36.3,18.3,16.5,0.8,1.35,2.3,4.12,1.1,1040.0,129.0,73.3,5.36,507.0,94.8,61.4,3.74,17.3,155.0,7.39,0.783,52.1,68.6,53.1,69.6,7.5,3
WT18X115_5,115.5,34.1,18.2,16.5,0.76,1.26,2.21,4.1,1.03,978.0,122.0,69.1,5.36,470.0,88.0,57.0,3.71,14.3,129.0,7.39,0.78,51.9,68.4,52.9,69.4,7.5,3
WT18X193_5,193.5,56.8,19.5,12.7,1.42,2.56,3.31,5.42,2.24,1910.0,244.0,136.0,5.8,441.0,112.0,69.4,2.79,85.3,720.0,7.65,0.707,51.1,63.8,51.7,64.4,5.5,–
WT18X175,175.0,51.5,19.3,12.6,1.3,2.32,3.07,5.3,2.04,1720.0,220.0,123.0,5.78,390.0,99.4,61.9,2.75,64.1,538.0,7.62,0.705,50.6,63.2,51.2,63.8,5.5,–
WT18X159,159.0,46.7,19.1,12.4,1.18,2.13,2.88,5.17,1.88,1530.0,197.0,110.0,5.72,341.0,87.9,55.0,2.7,48.9,396.0,7.54,0.704,50.0,62.4,50.6,63.0,5.5,–
WT18X143,143.0,42.0,18.9,12.3,1.06,1.93,2.68,5.02,1.71,1360.0,175.0,98.0,5.69,301.0,77.8,48.9,2.68,36.2,284.0,7.48,0.706,49.5,61.8,50.1,62.4,5.5,–
WT18X128,128.0,37.6,18.7,12.2,0.96,1.73,2.48,4.92,1.54,1210.0,156.0,87.4,5.66,264.0,68.5,43.2,2.65,26.4,205.0,7.45,0.703,48.6,60.8,49.6,61.8,5.5,–
WT18X116,116.0,34.0,18.6,12.1,0.87,1.57,2.32,4.82,1.4,1080.0,140.0,78.5,5.63,234.0,60.9,38.6,2.62,19.7,151.0,7.4,0.703,48.3,60.4,49.3,61.4,5.5,–
WT18X105,105.0,30.9,18.3,12.2,0.83,1.36,2.11,4.87,1.27,985.0,131.0,73.1,5.65,206.0,53.4,33.8,2.58,13.9,119.0,7.49,0.687,47.8,60.0,48.8,61.0,5.5,–
WT18X97,97.0,28.5,18.2,12.1,0.765,1.26,2.01,4.8,1.18,901.0,120.0,67.0,5.62,187.0,48.8,30.9,2.56,11.1,92.7,7.45,0.688,47.5,59.6,48.5,60.6,5.5,–
WT18X91,91.0,26.8,18.2,12.1,0.725,1.18,1.93,4.77,1.11,845.0,113.0,63.1,5.62,174.0,45.3,28.8,2.55,9.2,77.6,7.45,0.685,47.5,59.6,48.5,60.6,5.5,–
WT18X85,85.0,25.0,18.1,12.0,0.68,1.1,1.85,4.73,1.04,786.0,105.0,58.9,5.61,160.0,41.8,26.6,2.53,7.51,63.2,7.44,0.684,47.2,59.2,48.2,60.2,5.5,–
WT18X80,80.0,23.5,18.0,12.0,0.65,1.02,1.77,4.74,0.98,740.0,100.0,55.8,5.61,147.0,38.6,24.6,2.5,6.17,53.6,7.46,0.678,47.0,59.0,48.0,60.0,5.5,–
WT18X75,75.0,22.1,17.9,12.0,0.625,0.94,1.69,4.78,0.923,698.0,95.5,53.1,5.62,135.0,35.4,22.5,2.47,5.04,46.0,7.5,0.67,46.8,58.8,47.8,59.8,5.5,–
WT18X67_5,67.5,19.9,17.8,12.0,0.6,0.79,1.54,4.96,1.23,637.0,90.1,49.7,5.66,113.0,29.8,18.9,2.38,3.48,37.3,7.65,0.644,46.6,58.6,47.6,59.6,5.5,–
WT16_5X193_5,193.5,57.0,18.0,16.2,1.26,2.28,3.07,4.27,1.76,1460.0,193.0,107.0,5.07,810.0,156.0,100.0,3.77,73.9,615.0,7.05,0.803,51.2,67.4,52.2,68.4,5.5,3
WT16_5X177,177.0,52.1,17.8,16.1,1.16,2.09,2.88,4.15,1.62,1320.0,174.0,96.8,5.03,729.0,141.0,90.6,3.74,57.1,468.0,7.0,0.803,50.7,66.8,51.7,67.8,5.5,3
WT16_5X159,159.0,46.8,17.6,16.0,1.04,1.89,2.68,4.02,1.46,1160.0,154.0,85.8,4.99,645.0,125.0,80.7,3.71,42.1,335.0,6.93,0.804,50.2,66.2,51.2,67.2,5.5,3
WT16_5X145_5,145.5,42.8,17.4,15.9,0.96,1.73,2.52,3.93,1.35,1060.0,140.0,78.3,4.96,581.0,113.0,73.1,3.68,32.5,256.0,6.9,0.802,49.7,65.6,50.7,66.6,5.5,3
WT16_5X131_5,131.5,38.7,17.3,15.8,0.87,1.57,2.36,3.83,1.23,943.0,125.0,70.2,4.93,517.0,101.0,65.5,3.65,24.3,188.0,6.86,0.802,49.4,65.2,50.4,66.2,5.5,3
WT16_5X120_5,120.5,35.6,17.1,15.9,0.83,1.4,2.19,3.84,1.12,872.0,116.0,65.8,4.96,466.0,90.8,58.8,3.62,18.0,146.0,6.9,0.792,49.1,65.0,50.1,66.0,5.5,3
WT16_5X110_5,110.5,32.6,17.0,15.8,0.775,1.28,2.06,3.81,1.03,799.0,107.0,60.8,4.95,420.0,82.1,53.2,3.59,13.9,113.0,6.89,0.788,48.8,64.6,49.8,65.6,5.5,3
WT16_5X100_5,100.5,29.7,16.8,15.7,0.715,1.15,1.94,3.77,0.94,725.0,97.8,55.5,4.95,375.0,73.3,47.6,3.56,10.4,84.9,6.88,0.784,48.3,64.0,49.3,65.0,5.5,3
WT16_5X84_5,84.5,24.7,16.9,11.5,0.67,1.22,1.92,4.21,1.08,649.0,90.8,51.1,5.12,155.0,42.1,27.0,2.5,8.81,55.4,6.74,0.715,44.3,55.8,45.3,56.8,5.5,–
WT16_5X76,76.0,22.5,16.7,11.6,0.635,1.06,1.76,4.26,0.967,592.0,84.5,47.4,5.14,136.0,36.9,23.6,2.47,6.16,43.0,6.82,0.7,44.0,55.6,45.0,56.6,5.5,–
WT16_5X70_5,70.5,20.7,16.7,11.5,0.605,0.96,1.66,4.29,0.901,552.0,79.8,44.7,5.15,123.0,33.4,21.3,2.43,4.84,35.4,6.86,0.691,43.9,55.4,44.9,56.4,5.5,–
WT16_5X65,65.0,19.1,16.5,11.5,0.58,0.855,1.56,4.36,0.832,513.0,75.6,42.1,5.18,109.0,29.7,18.9,2.38,3.67,29.3,6.93,0.677,43.5,55.0,44.5,56.0,5.5,–
WT16_5X59,59.0,17.4,16.4,11.5,0.55,0.74,1.44,4.47,0.862,469.0,70.8,39.2,5.2,93.5,25.6,16.3,2.32,2.64,23.4,7.02,0.659,43.3,54.8,44.3,55.8,5.5,–
WT15X195_5,195.5,57.6,16.6,15.6,1.36,2.44,3.23,4.0,1.85,1220.0,177.0,96.9,4.61,774.0,155.0,99.2,3.67,86.3,636.0,6.51,0.817,47.8,63.4,48.8,64.4,5.5,3
WT15X178_5,178.5,52.5,16.4,15.5,1.24,2.24,3.03,3.87,1.7,1090.0,159.0,87.2,4.56,693.0,140.0,89.6,3.64,66.6,478.0,6.45,0.818,47.3,62.8,48.3,63.8,5.5,3
WT15X163,163.0,48.0,16.2,15.4,1.14,2.05,2.84,3.76,1.56,981.0,143.0,78.8,4.52,622.0,126.0,81.0,3.6,51.2,361.0,6.4,0.817,46.8,62.2,47.8,63.2,5.5,3
WT15X146,146.0,43.0,16.0,15.3,1.02,1.85,2.64,3.62,1.41,861.0,125.0,69.6,4.48,549.0,111.0,71.9,3.58,37.5,257.0,6.33,0.819,46.3,61.6,47.3,62.6,5.5,3
WT15X130_5,130.5,38.5,15.8,15.2,0.93,1.65,2.44,3.54,1.27,765.0,112.0,62.4,4.46,480.0,97.9,63.3,3.53,26.9,184.0,6.3,0.815,45.8,61.0,46.8,62.0,5.5,3
WT15X117_5,117.5,34.7,15.7,15.1,0.83,1.5,2.29,3.41,1.15,674.0,98.2,55.1,4.41,427.0,87.5,56.8,3.51,20.1,133.0,6.24,0.818,45.5,60.6,46.5,61.6,5.5,3
WT15X105_5,105.5,31.1,15.5,15.1,0.775,1.32,2.1,3.39,1.03,610.0,89.5,50.5,4.43,378.0,77.2,50.1,3.49,14.1,96.4,6.27,0.809,45.1,60.2,46.1,61.2,5.5,3
WT15X95_5,95.5,28.0,15.3,15.0,0.71,1.19,1.97,3.34,0.935,549.0,80.8,45.7,4.42,336.0,68.9,44.7,3.46,10.5,71.2,6.25,0.807,44.6,59.6,45.6,60.6,5.5,3
WT15X86_5,86.5,25.4,15.2,15.0,0.655,1.07,1.85,3.31,0.851,497.0,73.5,41.7,4.42,299.0,61.4,39.9,3.42,7.78,53.0,6.24,0.802,44.4,59.4,45.4,60.4,5.5,3
WT15X74,74.0,21.8,15.3,10.5,0.65,1.18,1.83,3.84,1.04,466.0,72.2,40.6,4.63,114.0,33.9,21.7,2.28,7.24,37.6,6.1,0.716,40.1,50.6,41.1,51.6,5.5,–
WT15X66,66.0,19.5,15.2,10.5,0.615,1.0,1.65,3.9,0.921,421.0,66.8,37.4,4.66,98.0,29.2,18.6,2.25,4.85,28.5,6.19,0.698,39.9,50.4,40.9,51.4,5.5,–
WT15X62,62.0,18.2,15.1,10.5,0.585,0.93,1.58,3.9,0.867,396.0,63.1,35.3,4.66,90.4,27.0,17.2,2.23,3.98,23.9,6.2,0.694,39.7,50.2,40.7,51.2,5.5,–
WT15X58,58.0,17.1,15.0,10.5,0.565,0.85,1.5,3.94,0.815,373.0,60.4,33.7,4.67,82.1,24.6,15.6,2.19,3.21,20.5,6.24,0.683,39.5,50.0,40.5,51.0,5.5,–
WT15X54,54.0,15.9,14.9,10.5,0.545,0.76,1.41,4.01,0.757,349.0,57.7,32.0,4.69,73.0,21.9,13.9,2.15,2.49,17.3,6.31,0.668,39.3,49.8,40.3,50.8,5.5,–
WT15X49_5,49.5,14.5,14.8,10.5,0.52,0.67,1.32,4.09,0.912,322.0,54.4,30.0,4.71,63.9,19.3,12.2,2.1,1.88,14.3,6.38,0.653,39.1,49.6,40.1,50.6,5.5,–
WT15X45,45.0,13.2,14.8,10.4,0.47,0.61,1.26,4.04,0.835,290.0,49.0,27.1,4.69,57.3,17.3,11.0,2.09,1.41,10.5,6.35,0.654,39.0,49.4,40.0,50.4,5.5,–
WT13_5X269_5,269.5,79.3,16.3,15.3,1.97,3.54,4.33,4.34,2.6,1530.0,242.0,128.0,4.39,1060.0,218.0,138.0,3.65,247.0,1740.0,6.26,0.831,47.2,62.5,47.9,63.2,5.5,–
WT13_5X184,184.0,54.2,15.2,14.7,1.38,2.48,3.27,3.71,1.85,939.0,151.0,81.7,4.16,655.0,140.0,89.3,3.48,84.5,532.0,5.96,0.828,44.1,58.8,45.1,59.8,5.5,–
WT13_5X168,168.0,49.5,15.0,14.6,1.26,2.28,3.07,3.58,1.7,839.0,135.0,73.4,4.12,587.0,126.0,80.8,3.45,65.4,401.0,5.9,0.829,43.6,58.2,44.6,59.2,5.5,–
WT13_5X153_5,153.5,45.2,14.8,14.4,1.16,2.09,2.88,3.47,1.56,753.0,121.0,66.4,4.08,527.0,113.0,72.9,3.41,50.5,304.0,5.85,0.828,43.0,57.4,44.0,58.4,5.5,–
WT13_5X140_5,140.5,41.5,14.6,14.4,1.06,1.93,2.72,3.35,1.44,677.0,109.0,59.9,4.04,477.0,103.0,66.4,3.39,39.6,232.0,5.79,0.83,42.6,57.0,43.6,58.0,5.5,–
WT13_5X129,129.0,38.1,14.5,14.3,0.98,1.77,2.56,3.27,1.33,613.0,98.9,54.7,4.02,430.0,93.3,60.2,3.36,30.7,178.0,5.76,0.828,42.3,56.6,43.3,57.6,5.5,–
WT13_5X117_5,117.5,34.7,14.3,14.2,0.91,1.61,2.4,3.2,1.22,556.0,89.9,50.0,4.0,384.0,83.8,54.2,3.33,23.4,135.0,5.73,0.825,41.8,56.0,42.8,57.0,5.5,–
WT13_5X108_5,108.5,32.0,14.2,14.1,0.83,1.5,2.29,3.1,1.13,502.0,81.1,45.2,3.96,352.0,77.0,49.9,3.32,18.8,105.0,5.68,0.828,41.5,55.6,42.5,56.6,5.5,–
WT13_5X97,97.0,28.6,14.1,14.0,0.75,1.34,2.13,3.02,1.02,444.0,71.8,40.3,3.94,309.0,67.8,44.1,3.29,13.5,74.3,5.64,0.827,41.2,55.2,42.2,56.2,5.5,–
WT13_5X89,89.0,26.3,13.9,14.1,0.725,1.19,1.98,3.04,0.932,414.0,67.7,38.2,3.97,278.0,60.8,39.4,3.25,10.0,57.7,5.69,0.815,40.9,55.0,41.9,56.0,5.5,–
WT13_5X80_5,80.5,23.8,13.8,14.0,0.66,1.08,1.87,2.98,0.849,372.0,60.8,34.4,3.95,248.0,54.5,35.4,3.23,7.53,42.7,5.66,0.814,40.6,54.6,41.6,55.6,5.5,–
WT13_5X73,73.0,21.6,13.7,14.0,0.605,0.975,1.76,2.94,0.772,336.0,55.0,31.2,3.95,222.0,48.8,31.7,3.2,5.62,31.7,5.64,0.812,40.4,54.4,41.4,55.4,5.5,–
WT13_5X64_5,64.5,18.9,13.8,10.0,0.61,1.1,1.7,3.39,0.945,323.0,55.1,31.0,4.13,92.2,28.8,18.4,2.21,5.55,24.0,5.48,0.732,36.6,46.6,37.6,47.6,5.5,–
WT13_5X57,57.0,16.8,13.6,10.1,0.57,0.93,1.53,3.42,0.832,289.0,50.4,28.3,4.15,79.3,24.6,15.8,2.18,3.65,17.5,5.54,0.716,36.3,46.4,37.3,47.4,5.5,–
WT13_5X51,51.0,15.0,13.5,10.0,0.515,0.83,1.43,3.37,0.75,258.0,45.0,25.3,4.14,69.6,21.7,13.9,2.15,2.63,12.6,5.53,0.713,36.0,46.0,37.0,47.0,5.5,–
WT13_5X47,47.0,13.8,13.5,10.0,0.49,0.745,1.34,3.41,0.692,239.0,42.4,23.8,4.16,62.0,19.4,12.4,2.12,2.01,10.2,5.57,0.702,36.0,46.0,37.0,47.0,5.5,–
WT13_5X42,42.0,12.4,13.4,10.0,0.46,0.64,1.24,3.48,0.621,216.0,39.2,21.9,4.18,52.8,16.6,10.6,2.07,1.4,7.79,5.63,0.685,35.8,45.8,36.8,46.8,5.5,–
WT12X185,185.0,54.5,14.0,13.7,1.52,2.72,3.22,3.57,1.99,779.0,140.0,74.7,3.78,581.0,133.0,85.1,3.27,100.0,553.0,5.47,0.837,40.7,54.4,41.7,55.4,5.5,–
WT12X167_5,167.5,49.1,13.8,13.5,1.38,2.48,2.98,3.42,1.82,686.0,123.0,66.3,3.73,513.0,119.0,75.9,3.23,75.6,405.0,5.4,0.837,40.1,53.6,41.1,54.6,5.5,–
WT12X153,153.0,44.9,13.6,13.4,1.26,2.28,2.78,3.29,1.67,611.0,110.0,59.4,3.69,460.0,107.0,68.6,3.2,58.4,305.0,5.34,0.837,39.6,53.0,40.6,54.0,5.5,–
WT12X139_5,139.5,41.0,13.4,13.3,1.16,2.09,2.59,3.18,1.54,546.0,98.8,53.6,3.65,412.0,96.3,61.9,3.17,45.1,230.0,5.28,0.837,39.1,52.4,40.1,53.4,5.5,–
WT12X125,125.0,36.8,13.2,13.2,1.04,1.89,2.39,3.05,1.39,478.0,86.5,47.2,3.61,362.0,85.2,54.9,3.14,33.2,165.0,5.22,0.838,38.6,51.8,39.6,52.8,5.5,–
WT12X114_5,114.5,33.6,13.0,13.1,0.96,1.73,2.23,2.96,1.28,431.0,78.1,42.9,3.58,326.0,77.0,49.7,3.11,25.5,125.0,5.19,0.836,38.1,51.2,39.1,52.2,5.5,–
WT12X103_5,103.5,30.3,12.9,13.0,0.87,1.57,2.07,2.87,1.17,382.0,69.3,38.3,3.55,289.0,68.6,44.4,3.08,19.1,91.3,5.14,0.836,37.8,50.8,38.8,51.8,5.5,–
WT12X96,96.0,28.2,12.7,13.0,0.81,1.46,1.96,2.8,1.09,350.0,63.5,35.2,3.53,265.0,63.1,40.9,3.07,15.3,72.5,5.11,0.836,37.4,50.4,38.4,51.4,5.5,–
WT12X88,88.0,25.8,12.6,12.9,0.75,1.34,1.84,2.74,1.0,319.0,57.8,32.2,3.51,240.0,57.3,37.2,3.04,11.9,55.8,5.09,0.835,37.1,50.0,38.1,51.0,5.5,–
WT12X81,81.0,23.9,12.5,13.0,0.705,1.22,1.72,2.7,0.921,293.0,53.3,29.9,3.5,221.0,52.6,34.2,3.05,9.22,43.8,5.09,0.832,37.0,50.0,38.0,51.0,5.5,–
WT12X73,73.0,21.5,12.4,12.9,0.65,1.09,1.59,2.66,0.833,264.0,48.2,27.2,3.5,195.0,46.6,30.3,3.01,6.7,31.9,5.08,0.827,36.7,49.6,37.7,50.6,5.5,–
WT12X65_5,65.5,19.3,12.2,12.9,0.605,0.96,1.46,2.65,0.75,238.0,43.9,24.8,3.52,170.0,40.7,26.5,2.97,4.74,23.1,5.09,0.818,36.3,49.2,37.3,50.2,5.5,–
WT12X58_5,58.5,17.2,12.1,12.8,0.55,0.85,1.35,2.62,0.672,212.0,39.2,22.3,3.51,149.0,35.7,23.2,2.94,3.35,16.4,5.08,0.814,36.0,48.8,37.0,49.8,5.5,–
WT12X52,52.0,15.3,12.0,12.8,0.5,0.75,1.25,2.59,0.6,189.0,35.1,20.0,3.51,130.0,31.2,20.3,2.91,2.35,11.6,5.07,0.809,35.8,48.6,36.8,49.6,5.5,–
WT12X51_5,51.5,15.1,12.3,9.0,0.55,0.98,1.48,3.01,0.841,204.0,39.2,22.0,3.67,59.7,20.7,13.3,1.99,3.53,12.3,4.88,0.733,32.6,41.6,33.6,42.6,5.5,–
WT12X47,47.0,13.8,12.2,9.07,0.515,0.875,1.38,2.99,0.764,186.0,36.1,20.3,3.67,54.5,18.7,12.0,1.98,2.62,9.57,4.89,0.727,32.5,41.5,33.5,42.5,5.5,–
WT12X42,42.0,12.4,12.1,9.02,0.47,0.77,1.27,2.97,0.685,166.0,32.5,18.3,3.67,47.2,16.3,10.5,1.95,1.84,6.9,4.9,0.72,32.2,41.2,33.2,42.2,5.5,–
WT12X38,38.0,11.2,12.0,8.99,0.44,0.68,1.18,3.0,0.622,151.0,30.1,16.9,3.68,41.3,14.3,9.18,1.92,1.34,5.3,4.93,0.709,32.0,41.0,33.0,42.0,5.5,–
WT12X34,34.0,10.0,11.9,8.97,0.415,0.585,1.09,3.06,0.56,137.0,27.9,15.6,3.7,35.2,12.3,7.85,1.87,0.932,4.08,4.99,0.691,31.8,40.7,32.8,41.7,5.5,–
WT12X31,31.0,9.11,11.9,7.04,0.43,0.59,1.09,3.46,1.28,131.0,28.4,15.6,3.79,17.2,7.85,4.9,1.38,0.85,3.92,5.13,0.619,30.2,37.2,30.8,37.9,3.5,–
WT12X27_5,27.5,8.1,11.8,7.01,0.395,0.505,1.01,3.5,1.53,117.0,25.6,14.1,3.8,14.5,6.65,4.15,1.34,0.588,2.93,5.17,0.606,29.9,36.9,30.6,37.6,3.5,–
WT10_5X137_5,137.5,40.9,12.1,12.9,1.22,2.19,3.37,2.9,1.59,420.0,86.3,45.7,3.2,394.0,95.1,61.1,3.1,53.5,224.0,4.81,0.859,36.1,49.0,37.1,50.0,5.5,–
WT10_5X124,124.0,37.0,11.9,12.8,1.1,1.99,3.17,2.77,1.45,368.0,75.7,40.3,3.15,349.0,84.8,54.5,3.07,40.2,163.0,4.75,0.86,35.6,48.4,36.6,49.4,5.5,–
WT10_5X111_5,111.5,33.2,11.7,12.7,1.0,1.79,2.97,2.66,1.31,324.0,66.7,35.9,3.12,307.0,74.9,48.3,3.04,29.6,117.0,4.7,0.859,35.1,47.8,36.1,48.8,5.5,–
WT10_5X100_5,100.5,29.6,11.5,12.6,0.91,1.63,2.13,2.57,1.18,285.0,58.6,31.9,3.1,271.0,66.5,43.1,3.02,20.4,85.4,4.67,0.859,34.6,47.2,35.6,48.2,5.5,–
WT10_5X91,91.0,26.8,11.4,12.5,0.83,1.48,1.98,2.48,1.07,253.0,52.1,28.5,3.07,241.0,59.5,38.6,3.0,15.3,63.0,4.64,0.859,34.3,46.8,35.3,47.8,5.5,–
WT10_5X83,83.0,24.4,11.2,12.4,0.75,1.36,1.86,2.39,0.983,226.0,46.3,25.5,3.04,217.0,53.9,35.0,2.99,11.8,47.3,4.59,0.861,33.8,46.2,34.8,47.2,5.5,–
WT10_5X73_5,73.5,21.6,11.0,12.5,0.72,1.15,1.65,2.39,0.864,204.0,42.4,23.7,3.08,188.0,46.3,30.0,2.95,7.69,32.5,4.63,0.846,33.5,46.0,34.5,47.0,5.5,–
WT10_5X66,66.0,19.4,10.9,12.4,0.65,1.04,1.54,2.33,0.78,181.0,37.6,21.1,3.06,166.0,41.1,26.7,2.93,5.62,23.4,4.6,0.845,33.2,45.6,34.2,46.6,5.5,–
WT10_5X61,61.0,17.9,10.8,12.4,0.6,0.96,1.46,2.28,0.724,166.0,34.3,19.3,3.04,152.0,37.8,24.6,2.91,4.47,18.4,4.58,0.846,33.0,45.4,34.0,46.4,5.5,–
WT10_5X55_5,55.5,16.3,10.8,12.3,0.55,0.875,1.38,2.23,0.662,150.0,31.0,17.5,3.03,137.0,34.1,22.2,2.9,3.4,13.8,4.56,0.845,32.9,45.2,33.9,46.2,5.5,–
WT10_5X50_5,50.5,14.9,10.7,12.3,0.5,0.8,1.3,2.18,0.605,135.0,27.9,15.8,3.01,124.0,30.8,20.2,2.89,2.6,10.4,4.53,0.846,32.7,45.0,33.7,46.0,5.5,–
WT10_5X46_5,46.5,13.7,10.8,8.42,0.58,0.93,1.43,2.74,0.812,144.0,31.8,17.9,3.25,46.4,17.3,11.0,1.84,3.01,9.33,4.37,0.73,29.5,37.9,30.0,38.4,5.5,–
WT10_5X41_5,41.5,12.2,10.7,8.36,0.515,0.835,1.34,2.66,0.728,127.0,28.0,15.7,3.22,40.7,15.2,9.74,1.83,2.16,6.5,4.33,0.732,29.2,37.6,29.8,38.1,5.5,–
WT10_5X36_5,36.5,10.7,10.6,8.3,0.455,0.74,1.24,2.6,0.647,110.0,24.4,13.8,3.21,35.3,13.3,8.51,1.81,1.51,4.42,4.3,0.732,29.0,37.3,29.5,37.8,5.5,–
WT10_5X34,34.0,10.0,10.6,8.27,0.43,0.685,1.19,2.59,0.606,103.0,22.9,12.9,3.2,32.4,12.2,7.83,1.8,1.22,3.62,4.3,0.728,29.0,37.2,29.5,37.7,5.5,–
WT10_5X31,31.0,9.13,10.5,8.24,0.4,0.615,1.12,2.58,0.554,93.8,21.1,11.9,3.21,28.7,10.9,6.97,1.77,0.913,2.78,4.31,0.721,28.7,37.0,29.2,37.5,5.5,–
WT10_5X27_5,27.5,8.1,10.4,8.22,0.375,0.522,1.02,2.64,0.493,84.4,19.4,10.9,3.23,24.2,9.18,5.89,1.73,0.617,2.08,4.37,0.703,28.5,36.7,29.0,37.2,5.5,–
WT10_5X24,24.0,7.07,10.3,8.14,0.35,0.43,0.93,2.74,0.459,74.9,17.8,9.9,3.26,19.4,7.44,4.76,1.66,0.4,1.52,4.44,0.676,28.2,36.4,28.7,36.9,5.5,–
WT10_5X28_5,28.5,8.37,10.5,6.56,0.405,0.65,1.15,2.85,0.638,90.4,21.2,11.8,3.29,15.3,7.4,4.67,1.35,0.884,2.5,4.36,0.665,27.0,33.6,27.6,34.1,3.5,–
WT10_5X25,25.0,7.36,10.4,6.53,0.38,0.535,1.04,2.93,0.771,80.3,19.4,10.7,3.3,12.5,6.08,3.82,1.3,0.57,1.89,4.44,0.64,26.8,33.3,27.3,33.9,3.5,–
WT10_5X22,22.0,6.49,10.3,6.5,0.35,0.45,0.95,2.98,1.06,71.1,17.6,9.68,3.31,10.3,5.07,3.18,1.26,0.383,1.4,4.49,0.623,26.6,33.1,27.1,33.6,3.5,–
WT9X155_5,155.5,45.8,11.2,12.0,1.52,2.74,3.24,2.93,1.91,383.0,90.6,46.6,2.89,398.0,104.0,66.2,2.95,87.2,339.0,4.41,0.875,33.7,45.7,34.4,46.4,5.5,–
WT9X141_5,141.5,41.7,10.9,11.9,1.4,2.5,3.0,2.8,1.75,337.0,80.2,41.5,2.85,352.0,92.5,59.2,2.91,66.5,251.0,4.36,0.873,33.0,44.9,33.7,45.6,5.5,–
WT9X129,129.0,38.0,10.7,11.8,1.28,2.3,2.7,2.68,1.61,298.0,71.0,37.0,2.8,314.0,83.1,53.4,2.88,51.1,189.0,4.3,0.874,32.5,44.3,33.2,45.0,5.5,–
WT9X117,117.0,34.3,10.5,11.7,1.16,2.11,2.51,2.55,1.48,261.0,62.4,32.7,2.75,279.0,74.4,47.9,2.85,39.1,140.0,4.23,0.875,32.0,43.7,32.7,44.4,5.5,–
WT9X105_5,105.5,31.2,10.3,11.6,1.06,1.91,2.31,2.44,1.34,229.0,55.0,29.1,2.72,246.0,66.1,42.7,2.82,29.1,102.0,4.19,0.874,31.5,43.1,32.2,43.8,5.5,–
WT9X96,96.0,28.1,10.2,11.5,0.96,1.75,2.15,2.34,1.23,202.0,48.5,25.8,2.68,220.0,59.4,38.4,2.79,22.3,75.7,4.13,0.875,31.2,42.7,31.9,43.4,5.5,–
WT9X87_5,87.5,25.7,10.0,11.4,0.89,1.59,1.99,2.26,1.13,181.0,43.6,23.4,2.66,196.0,53.1,34.4,2.76,16.8,56.5,4.1,0.872,30.7,42.1,31.4,42.8,5.5,–
WT9X79,79.0,23.2,9.86,11.3,0.81,1.44,1.84,2.17,1.02,160.0,38.5,20.8,2.63,174.0,47.4,30.7,2.74,12.5,41.2,4.06,0.872,30.3,41.6,31.0,42.3,5.5,–
WT9X71_5,71.5,21.0,9.75,11.2,0.73,1.32,1.72,2.09,0.937,142.0,34.0,18.5,2.6,156.0,42.7,27.7,2.72,9.58,30.7,4.02,0.874,30.0,41.2,30.7,41.9,5.5,–
