shape,weight,area,d,bf,tw,tf,k,y,yp,Ix,Zx,Sx,rx,Iy,Zy,Sy,ry,J,Cw,ro,H,PA,PB,PC,PD,WGi,WGo
WT6X39_5,39.5,11.6,6.19,12.1,0.47,0.735,1.33,1.06,0.48,25.8,9.49,5.03,1.49,108.0,27.1,17.9,3.05,1.91,5.43,3.47,0.96,23.8,35.9,24.5,36.6,5.5,–
WT6X36,36.0,10.6,6.13,12.0,0.43,0.67,1.27,1.02,0.439,23.2,8.48,4.54,1.48,97.5,24.6,16.2,3.04,1.46,4.07,3.45,0.96,23.6,35.6,24.3,36.3,5.5,–
WT6X32_5,32.5,9.54,6.06,12.0,0.39,0.605,1.2,0.985,0.398,20.6,7.5,4.06,1.47,87.2,22.0,14.5,3.02,1.09,2.97,3.43,0.96,23.4,35.4,24.1,36.1,5.5,–
WT6X29,29.0,8.52,6.1,10.0,0.36,0.64,1.24,1.03,0.426,19.1,6.97,3.76,1.5,53.5,16.2,10.7,2.51,1.05,2.08,3.0,0.944,21.6,31.6,22.2,32.2,5.5,–
WT6X26_5,26.5,7.78,6.03,10.0,0.345,0.575,1.18,1.02,0.389,17.7,6.46,3.54,1.51,47.9,14.5,9.58,2.48,0.788,1.53,3.0,0.939,21.5,31.5,22.1,32.1,5.5,–
WT6X25,25.0,7.3,6.1,8.08,0.37,0.64,1.14,1.17,0.452,18.7,6.88,3.79,1.6,28.2,10.6,6.97,1.96,0.855,1.23,2.67,0.899,19.7,27.8,20.3,28.4,5.5,–
WT6X22_5,22.5,6.56,6.03,8.05,0.335,0.575,1.08,1.13,0.408,16.6,6.1,3.39,1.59,25.0,9.47,6.21,1.95,0.627,0.885,2.66,0.898,19.5,27.6,20.1,28.2,5.5,–
WT6X20,20.0,5.84,5.97,8.01,0.295,0.515,1.02,1.09,0.365,14.4,5.28,2.95,1.57,22.0,8.38,5.5,1.94,0.452,0.62,2.63,0.901,19.3,27.4,20.0,28.0,5.5,–
WT6X17_5,17.5,5.17,6.25,6.56,0.3,0.52,0.82,1.3,0.394,16.0,5.71,3.23,1.76,12.2,5.73,3.73,1.54,0.369,0.437,2.56,0.834,18.5,25.1,19.1,25.6,3.5,–
WT6X15,15.0,4.4,6.17,6.52,0.26,0.44,0.74,1.27,0.337,13.5,4.83,2.75,1.75,10.2,4.78,3.12,1.52,0.228,0.267,2.54,0.83,18.3,24.9,18.9,25.4,3.5,–
WT6X13,13.0,3.82,6.11,6.49,0.23,0.38,0.68,1.25,0.295,11.7,4.2,2.4,1.75,8.66,4.08,2.67,1.51,0.15,0.174,2.54,0.827,18.2,24.7,18.7,25.2,3.5,–
WT6X11,11.0,3.24,6.16,4.03,0.26,0.425,0.725,1.63,0.402,11.7,4.63,2.59,1.9,2.33,1.83,1.15,0.847,0.146,0.137,2.52,0.683,16.0,20.0,16.4,20.4,2.25,–
